sample_id	donor	condition	replicate	condition_name	SL1344	IFNg	line_id	clone	ips_received	ips_started	passage_received	received_as	media	EB_formation	passage_diff	diff_start	salmonella_date	atac_date	flow_date	medium_changes	terminated	status	mean_purity	max_purity	genotype_id	open_access	sex	ips_culture_days	passage_diff_bins	rna_concentration	ng_ul_mean	macrophage_harvest	rna_extraction	rna_submit	library_pool	chemistry	rna_auto	macrophage_diff_days	macrophage_diff_bins	harvest_stimulation_days	max_purity_filtered	mean_purity_filtered	purity_bins
aipt_A	aipt	A	1	naive	control	naive	aipt_2	2	2014-04-22	2014-04-22	27	alive	KSR	2014-04-26	28	2014-04-30	2014-06-14	NA	2014-06-16	11	2014-07-08	Success	0.989960177239329	0.995288574793875	HPSI0513i-aipt_2	0	male	4	20	200+	271.84	2014-06-08	2014-06-24	2014-11-18	3226_RNA-1_191114	V4	FALSE	49	40	6	0.995288574793875	0.989960177239329	high
aipt_B	aipt	B	1	IFNg	control	primed	aipt_2	2	2014-04-22	2014-04-22	27	alive	KSR	2014-04-26	28	2014-04-30	2014-06-14	NA	2014-06-16	11	2014-07-08	Success	0.989960177239329	0.995288574793875	HPSI0513i-aipt_2	0	male	4	20	200+	271.84	2014-06-08	2014-06-24	2014-11-18	3226_RNA-1_191114	V4	FALSE	49	40	6	0.995288574793875	0.989960177239329	high
aipt_C	aipt	C	1	SL1344	infected	naive	aipt_2	2	2014-04-22	2014-04-22	27	alive	KSR	2014-04-26	28	2014-04-30	2014-06-14	NA	2014-06-16	11	2014-07-08	Success	0.989960177239329	0.995288574793875	HPSI0513i-aipt_2	0	male	4	20	200+	271.84	2014-06-08	2014-06-24	2014-11-18	3226_RNA-1_191114	V4	FALSE	49	40	6	0.995288574793875	0.989960177239329	high
aipt_D	aipt	D	1	IFNg_SL1344	infected	primed	aipt_2	2	2014-04-22	2014-04-22	27	alive	KSR	2014-04-26	28	2014-04-30	2014-06-14	NA	2014-06-16	11	2014-07-08	Success	0.989960177239329	0.995288574793875	HPSI0513i-aipt_2	0	male	4	20	200+	271.84	2014-06-08	2014-06-24	2014-11-18	3226_RNA-1_191114	V4	FALSE	49	40	6	0.995288574793875	0.989960177239329	high
auim_A	auim	A	1	naive	control	naive	auim_2	2	2014-10-10	2014-10-10	36	alive	KSR	2014-10-13	37	2014-10-16	2014-11-20	NA	2014-11-21	9	2014-12-10	Success	0.992998125482413	0.999834601389348	HPSI0613i-auim_2	0	female	3	30	0-100	97.0125	2014-11-14	2014-12-04	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	6	0.999834601389348	0.992998125482413	high
auim_B	auim	B	1	IFNg	control	primed	auim_2	2	2014-10-10	2014-10-10	36	alive	KSR	2014-10-13	37	2014-10-16	2014-11-20	NA	2014-11-21	9	2014-12-10	Success	0.992998125482413	0.999834601389348	HPSI0613i-auim_2	0	female	3	30	0-100	97.0125	2014-11-14	2014-12-04	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	6	0.999834601389348	0.992998125482413	high
auim_C	auim	C	1	SL1344	infected	naive	auim_2	2	2014-10-10	2014-10-10	36	alive	KSR	2014-10-13	37	2014-10-16	2014-11-20	NA	2014-11-21	9	2014-12-10	Success	0.992998125482413	0.999834601389348	HPSI0613i-auim_2	0	female	3	30	0-100	97.0125	2014-11-14	2014-12-04	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	6	0.999834601389348	0.992998125482413	high
auim_D	auim	D	1	IFNg_SL1344	infected	primed	auim_2	2	2014-10-10	2014-10-10	36	alive	KSR	2014-10-13	37	2014-10-16	2014-11-20	NA	2014-11-21	9	2014-12-10	Success	0.992998125482413	0.999834601389348	HPSI0613i-auim_2	0	female	3	30	0-100	97.0125	2014-11-14	2014-12-04	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	6	0.999834601389348	0.992998125482413	high
babk_A	babk	A	2	naive	control	naive	babk_2	2	2014-10-10	2015-09-15	37	alive/frozen	E8	2015-10-09	41	2015-10-12	2015-12-04	2015-12-04	2015-11-27	10	2015-12-04	Success	0.97143605870021	0.973427672955975	HPSI1213i-babk_2	1	female	24	40	0-100	50.305	2015-11-25	2015-12-07	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	56	50	9	0.973427672955975	0.97143605870021	low
babk_B	babk	B	2	IFNg	control	primed	babk_2	2	2014-10-10	2015-09-15	37	alive/frozen	E8	2015-10-09	41	2015-10-12	2015-12-04	2015-12-04	2015-11-27	10	2015-12-04	Success	0.97143605870021	0.973427672955975	HPSI1213i-babk_2	1	female	24	40	0-100	50.305	2015-11-25	2015-12-07	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	56	50	9	0.973427672955975	0.97143605870021	low
babk_C	babk	C	2	SL1344	infected	naive	babk_2	2	2014-10-10	2015-09-15	37	alive/frozen	E8	2015-10-09	41	2015-10-12	2015-12-04	2015-12-04	2015-11-27	10	2015-12-04	Success	0.97143605870021	0.973427672955975	HPSI1213i-babk_2	1	female	24	40	0-100	50.305	2015-11-25	2015-12-07	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	56	50	9	0.973427672955975	0.97143605870021	low
babk_D	babk	D	2	IFNg_SL1344	infected	primed	babk_2	2	2014-10-10	2015-09-15	37	alive/frozen	E8	2015-10-09	41	2015-10-12	2015-12-04	2015-12-04	2015-11-27	10	2015-12-04	Success	0.97143605870021	0.973427672955975	HPSI1213i-babk_2	1	female	24	40	0-100	50.305	2015-11-25	2015-12-07	2015-12-09	3226_RNAauto-091215	V4_auto	TRUE	56	50	9	0.973427672955975	0.97143605870021	low
bima_A	bima	A	1	naive	control	naive	bima_1	1	2014-10-24	2014-10-24	40	alive	E8	2014-11-04	42	2014-11-07	2014-12-12	2014-12-12	2014-12-16	6	2014-12-19	Success	0.985013884898975	0.988939959781672	HPSI1113i-bima_1	1	male	11	40	0-100	91.64	2014-12-05	2015-02-05	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	7	0.988939959781672	0.985013884898975	high
bima_B	bima	B	1	IFNg	control	primed	bima_1	1	2014-10-24	2014-10-24	40	alive	E8	2014-11-04	42	2014-11-07	2014-12-12	2014-12-12	2014-12-16	6	2014-12-19	Success	0.985013884898975	0.988939959781672	HPSI1113i-bima_1	1	male	11	40	0-100	91.64	2014-12-05	2015-02-05	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	7	0.988939959781672	0.985013884898975	high
bima_C	bima	C	1	SL1344	infected	naive	bima_1	1	2014-10-24	2014-10-24	40	alive	E8	2014-11-04	42	2014-11-07	2014-12-12	2014-12-12	2014-12-16	6	2014-12-19	Success	0.985013884898975	0.988939959781672	HPSI1113i-bima_1	1	male	11	40	0-100	91.64	2014-12-05	2015-02-05	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	7	0.988939959781672	0.985013884898975	high
bima_D	bima	D	1	IFNg_SL1344	infected	primed	bima_1	1	2014-10-24	2014-10-24	40	alive	E8	2014-11-04	42	2014-11-07	2014-12-12	2014-12-12	2014-12-16	6	2014-12-19	Success	0.985013884898975	0.988939959781672	HPSI1113i-bima_1	1	male	11	40	0-100	91.64	2014-12-05	2015-02-05	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	38	30	7	0.988939959781672	0.985013884898975	high
bubh_A	bubh	A	1	naive	control	naive	bubh_1	1	2015-01-14	2015-02-04	24	frozen	E8	2015-02-20	28	2015-02-23	2015-04-01	NA	2015-04-13	10	2015-04-10	Success	0.801584606677985	0.814091680814941	HPSI0314i-bubh_1	1	female	16	20	100-200	100.905	2015-03-25	2015-05-22	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	40	40	7	0.814091680814941	0.801584606677985	low
bubh_B	bubh	B	1	IFNg	control	primed	bubh_1	1	2015-01-14	2015-02-04	24	frozen	E8	2015-02-20	28	2015-02-23	2015-04-01	NA	2015-04-13	10	2015-04-10	Success	0.801584606677985	0.814091680814941	HPSI0314i-bubh_1	1	female	16	20	100-200	100.905	2015-03-25	2015-05-22	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	40	40	7	0.814091680814941	0.801584606677985	low
bubh_C	bubh	C	1	SL1344	infected	naive	bubh_1	1	2015-01-14	2015-02-04	24	frozen	E8	2015-02-20	28	2015-02-23	2015-04-01	NA	2015-04-13	10	2015-04-10	Success	0.801584606677985	0.814091680814941	HPSI0314i-bubh_1	1	female	16	20	100-200	100.905	2015-03-25	2015-05-22	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	40	40	7	0.814091680814941	0.801584606677985	low
bubh_D	bubh	D	1	IFNg_SL1344	infected	primed	bubh_1	1	2015-01-14	2015-02-04	24	frozen	E8	2015-02-20	28	2015-02-23	2015-04-01	NA	2015-04-13	10	2015-04-10	Success	0.801584606677985	0.814091680814941	HPSI0314i-bubh_1	1	female	16	20	100-200	100.905	2015-03-25	2015-05-22	2015-05-26	3226_RNAauto-260515	V4_auto	TRUE	40	40	7	0.814091680814941	0.801584606677985	low
cehw_A	cehw	A	1	naive	control	naive	cehw_3	3	2014-10-01	2014-10-01	33	alive	KSR	2014-10-07	34	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.96025135174631	0.965146865409908	HPSI0513i-cehw_3	0	female	6	30	0-100	98.1075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	44	40	6	0.965146865409908	0.96025135174631	low
cehw_B	cehw	B	1	IFNg	control	primed	cehw_3	3	2014-10-01	2014-10-01	33	alive	KSR	2014-10-07	34	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.96025135174631	0.965146865409908	HPSI0513i-cehw_3	0	female	6	30	0-100	98.1075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	44	40	6	0.965146865409908	0.96025135174631	low
cehw_C	cehw	C	1	SL1344	infected	naive	cehw_3	3	2014-10-01	2014-10-01	33	alive	KSR	2014-10-07	34	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.96025135174631	0.965146865409908	HPSI0513i-cehw_3	0	female	6	30	0-100	98.1075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	44	40	6	0.965146865409908	0.96025135174631	low
cehw_D	cehw	D	1	IFNg_SL1344	infected	primed	cehw_3	3	2014-10-01	2014-10-01	33	alive	KSR	2014-10-07	34	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.96025135174631	0.965146865409908	HPSI0513i-cehw_3	0	female	6	30	0-100	98.1075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-1_111214	V4	FALSE	44	40	6	0.965146865409908	0.96025135174631	low
cicb_A	cicb	A	1	naive	control	naive	cicb_3	3	2015-01-14	2015-03-09	39	frozen	E8	2015-03-27	43	2015-03-30	2015-04-24	2015-04-24	2015-04-23	6	2015-04-29	Success	0.970668732248903	0.984043377226956	HPSI0713i-cicb_3	0	male	18	40	100-200	146.9575	2015-04-17	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	28	20	7	0.984043377226956	0.970668732248903	high
cicb_B	cicb	B	1	IFNg	control	primed	cicb_3	3	2015-01-14	2015-03-09	39	frozen	E8	2015-03-27	43	2015-03-30	2015-04-24	2015-04-24	2015-04-23	6	2015-04-29	Success	0.970668732248903	0.984043377226956	HPSI0713i-cicb_3	0	male	18	40	100-200	146.9575	2015-04-17	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	28	20	7	0.984043377226956	0.970668732248903	high
cicb_C	cicb	C	1	SL1344	infected	naive	cicb_3	3	2015-01-14	2015-03-09	39	frozen	E8	2015-03-27	43	2015-03-30	2015-04-24	2015-04-24	2015-04-23	6	2015-04-29	Success	0.970668732248903	0.984043377226956	HPSI0713i-cicb_3	0	male	18	40	100-200	146.9575	2015-04-17	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	28	20	7	0.984043377226956	0.970668732248903	high
cicb_D	cicb	D	1	IFNg_SL1344	infected	primed	cicb_3	3	2015-01-14	2015-03-09	39	frozen	E8	2015-03-27	43	2015-03-30	2015-04-24	2015-04-24	2015-04-23	6	2015-04-29	Success	0.970668732248903	0.984043377226956	HPSI0713i-cicb_3	0	male	18	40	100-200	146.9575	2015-04-17	2015-04-25	2015-04-29	3226_RNAauto-290415	V4_auto	TRUE	28	20	7	0.984043377226956	0.970668732248903	high
coio_A	coio	A	1	naive	control	naive	coio_2	2	2014-10-01	2014-10-01	38	alive	KSR	2014-10-07	39	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.974881433339189	0.993852099069032	HPSI0513i-coio_2	0	female	6	30	100-200	162.7075	2014-11-14	2014-11-25	2014-12-09	3226_RNAseq-2_111214	V4	FALSE	44	40	6	0.993852099069032	0.974881433339189	high
