sample_id	ega_id	fastq	ega_file
S000GZB5	EGAR00001155928	_EGAR00001155928_131114_SN935_0183_A_C36BYACXX_ACTGAT_2_read1.fastq.gz	EGAF00000362673
S000X1B6	EGAR00001155873	_EGAR00001155873_131107_SN546_0223_B_C16A2ACXX_GCCAAT_5_read1.fastq.gz	EGAF00000362618
S0010QB8	EGAR00001155905	_EGAR00001155905_131114_SN935_0184_B_C35MPACXX_GCCAAT_5_read1.fastq.gz	EGAF00000362650
S0012MB2	EGAR00001155870	_EGAR00001155870_131107_SN546_0223_B_C16A2ACXX_ACTGAT_7_read1.fastq.gz	EGAF00000362615
S001C2B8	EGAR00001155917	_EGAR00001155917_131114_SN935_0183_A_C36BYACXX_GAGTGG_7_read1.fastq.gz	EGAF00000362662
S001GVB7	EGAR00001155880	_EGAR00001155880_131107_SN546_0223_B_C16A2ACXX_CTTGTA_2_read1.fastq.gz	EGAF00000362625
S001KNB9	EGAR00001155901	_EGAR00001155901_131114_SN935_0184_B_C35MPACXX_GTCCGC_7_read1.fastq.gz	EGAF00000362646
S001NHB7	EGAR00001155871	_EGAR00001155871_131107_SN546_0223_B_C16A2ACXX_GTGAAA_6_read1.fastq.gz	EGAF00000362616
S001T5B3	EGAR00001155910	_EGAR00001155910_131114_SN935_0184_B_C35MPACXX_ACTGAT_3_read1.fastq.gz	EGAF00000362655
S001YWB6	EGAR00001155868	_EGAR00001155868_131107_SN546_0223_B_C16A2ACXX_CTTGTA_8_read1.fastq.gz	EGAF00000362613
S0020MBC	EGAR00001155920	_EGAR00001155920_131114_SN935_0183_A_C36BYACXX_CTTGTA_6_read1.fastq.gz	EGAF00000362665
S0021KB8	EGAR00001155908	_EGAR00001155908_131114_SN935_0184_B_C35MPACXX_GATCAG_4_read1.fastq.gz	EGAF00000362653
S0026AB7	EGAR00001155904	_EGAR00001155904_131114_SN935_0184_B_C35MPACXX_ATCACG_6_read1.fastq.gz	EGAF00000362649
S00278B4	EGAR00001155923	_EGAR00001155923_131114_SN935_0183_A_C36BYACXX_GAGTGG_4_read1.fastq.gz	EGAF00000362668
S00294B8	EGAR00001155925	_EGAR00001155925_131114_SN935_0183_A_C36BYACXX_GCCAAT_3_read1.fastq.gz	EGAF00000362670
S002EVB7	EGAR00001155903	_EGAR00001155903_131114_SN935_0184_B_C35MPACXX_GAGTGG_6_read1.fastq.gz	EGAF00000362648
S002FTB7	EGAR00001155927	_EGAR00001155927_131114_SN935_0183_A_C36BYACXX_GTCCGC_2_read1.fastq.gz	EGAF00000362672
S002KJB6	EGAR00001155906	_EGAR00001155906_131114_SN935_0184_B_C35MPACXX_CTTGTA_5_read1.fastq.gz	EGAF00000362651
S002MFB7	EGAR00001155911	_EGAR00001155911_131114_SN935_0184_B_C35MPACXX_GAGTGG_2_read1.fastq.gz	EGAF00000362656
S002WWB5	EGAR00001155919	_EGAR00001155919_131114_SN935_0183_A_C36BYACXX_GCCAAT_6_read1.fastq.gz	EGAF00000362664
S002XUB5	EGAR00001155900	_EGAR00001155900_131114_SN935_0184_B_C35MPACXX_GATCAG_8_read1.fastq.gz	EGAF00000362645
S0031GB7	EGAR00001155909	_EGAR00001155909_131114_SN935_0184_B_C35MPACXX_GTCCGC_3_read1.fastq.gz	EGAF00000362654
S0032EB6	EGAR00001155878	_EGAR00001155878_131107_SN546_0223_B_C16A2ACXX_ACAGTG_3_read1.fastq.gz	EGAF00000362623
S00382B6	EGAR00001155913	_EGAR00001155913_131114_SN935_0184_B_C35MPACXX_GCCAAT_1_read1.fastq.gz	EGAF00000362658
S003AZB3	EGAR00001155914	_EGAR00001155914_131114_SN935_0184_B_C35MPACXX_CTTGTA_1_read1.fastq.gz	EGAF00000362659
S003JHB9	EGAR00001155916	_EGAR00001155916_131114_SN935_0183_A_C36BYACXX_ACTGAT_8_read1.fastq.gz	EGAF00000362661
S003KFB3	EGAR00001155874	_EGAR00001155874_131107_SN546_0223_B_C16A2ACXX_CTTGTA_5_read1.fastq.gz	EGAF00000362619
S003MBB2	EGAR00001155875	_EGAR00001155875_131107_SN546_0223_B_C16A2ACXX_GTGAAA_4_read1.fastq.gz	EGAF00000362620
S003P5B4	EGAR00001155907	_EGAR00001155907_131114_SN935_0184_B_C35MPACXX_TTAGGC_4_read1.fastq.gz	EGAF00000362652
S003Q3B5	EGAR00001155872	_EGAR00001155872_131107_SN546_0223_B_C16A2ACXX_ACAGTG_6_read1.fastq.gz	EGAF00000362617
S003R1B5	EGAR00001155869	_EGAR00001155869_131107_SN546_0223_B_C16A2ACXX_GTCCGC_7_read1.fastq.gz	EGAF00000362614
