sample_id	ega_id	fastq	ega_file
S000GZB1	EGAR00001149125	_EGAR00001149125_131105_SN935_0181_A_C0FRDACXX_CTTGTA_6_read1.fastq.gz	EGAF00000317323
S000X1B1	EGAR00001155886	_EGAR00001155886_131107_SN546_0222_A_C0GVMACXX_CTTGTA_7_read1.fastq.gz	EGAF00000362631
S0010QB3	EGAR00001155898	_EGAR00001155898_131107_SN546_0222_A_C0GVMACXX_CTTGTA_1_read1.fastq.gz	EGAF00000362643
S0012MB6	EGAR00001147756	_EGAR00001147756_131029_SN935_0180_A_C131VACXX_ACAGTG_2_read1.fastq.gz	EGAF00000321699
S001C2B2	EGAR00001147751	_EGAR00001147751_131029_SN935_0180_A_C131VACXX_GTGAAA_4_read1.fastq.gz	EGAF00000321694
S001GVB4	EGAR00001147755	_EGAR00001147755_131029_SN935_0180_A_C131VACXX_GTGAAA_2_read1.fastq.gz	EGAF00000321698
S001KNB3	EGAR00001155883	_EGAR00001155883_131107_SN546_0222_A_C0GVMACXX_GTGAAA_8_read1.fastq.gz	EGAF00000362628
S001NHB3	EGAR00001155884	_EGAR00001155884_131107_SN546_0222_A_C0GVMACXX_ACAGTG_8_read1.fastq.gz	EGAF00000362629
S001T5B5	EGAR00001147749	_EGAR00001147749_131029_SN935_0180_A_C131VACXX_GCCAAT_5_read1.fastq.gz	EGAF00000321692
S001YWB4	EGAR00001155892	_EGAR00001155892_131107_SN546_0222_A_C0GVMACXX_CTTGTA_4_read1.fastq.gz	EGAF00000362637
S0020MB1	EGAR00001155893	_EGAR00001155893_131107_SN546_0222_A_C0GVMACXX_GTGAAA_3_read1.fastq.gz	EGAF00000362638
S0021KB3	EGAR00001147745	_EGAR00001147745_131029_SN935_0180_A_C131VACXX_GTGAAA_7_read1.fastq.gz	EGAF00000321688
S0026AB1	EGAR00001155896	_EGAR00001155896_131107_SN546_0222_A_C0GVMACXX_ACAGTG_2_read1.fastq.gz	EGAF00000362641
S00278B2	EGAR00001155889	_EGAR00001155889_131107_SN546_0222_A_C0GVMACXX_GTGAAA_5_read1.fastq.gz	EGAF00000362634
S00294B4	EGAR00001147754	_EGAR00001147754_131029_SN935_0180_A_C131VACXX_CTTGTA_3_read1.fastq.gz	EGAF00000321697
S002EVB2	EGAR00001147748	_EGAR00001147748_131029_SN935_0180_A_C131VACXX_ACAGTG_6_read1.fastq.gz	EGAF00000321691
S002FTB3	EGAR00001149134	_EGAR00001149134_131105_SN935_0181_A_C0FRDACXX_GTGAAA_1_read1.fastq.gz	EGAF00000317332
S002KJB4	EGAR00001149121	_EGAR00001149121_131105_SN935_0181_A_C0FRDACXX_CGATGT_8_read1.fastq.gz	EGAF00000317319
S002MFB2	EGAR00001147747	_EGAR00001147747_131029_SN935_0180_A_C131VACXX_GTGAAA_6_read1.fastq.gz	EGAF00000321690
S002WWB1	EGAR00001147758	_EGAR00001147758_131029_SN935_0180_A_C131VACXX_CTTGTA_1_read1.fastq.gz	EGAF00000321701
S002XUB3	EGAR00001149123	_EGAR00001149123_131105_SN935_0181_A_C0FRDACXX_ACAGTG_7_read1.fastq.gz	EGAF00000317321
S0031GB2	EGAR00001149130	_EGAR00001149130_131105_SN935_0181_A_C0FRDACXX_GCCAAT_3_read1.fastq.gz	EGAF00000317328
