 FID                 IID       PEDSEX       SNPSEX       STATUS            F
   1   8324843038_R02C01            2            2           OK     -0.01382
   2   5434289001_R06C02            2            2           OK      -0.0143
   3   5434289093_R01C01            1            1           OK       0.9385
   4   8543229098_R06C01            1            1           OK       0.9225
   5   8543229003_R06C01            1            1           OK       0.9354
   6   5434289081_R04C02            2            2           OK    -0.005671
   7   5434289051_R04C01            2            2           OK     -0.02441
   8   5434289058_R03C02            1            1           OK       0.9409
   9   5443804058_R03C01            2            2           OK    0.0001541
  10   5434289105_R06C01            2            2           OK      0.03837
  11   8543229075_R06C02            0            2      PROBLEM    -0.006458
  12   8324843130_R02C01            1            1           OK       0.9201
  13   8327817141_R02C02            2            2           OK       0.1208
  14   5434289003_R05C01            2            2           OK     -0.03113
  15   8327817122_R03C01            1            1           OK       0.9234
  16   5434289041_R02C01            2            2           OK      0.06247
  17   5434289075_R05C02            2            2           OK        0.045
  18   5434289058_R02C01            1            1           OK       0.9385
  19   5434289051_R05C02            2            2           OK    -0.008585
  20   5443804058_R02C02            2            2           OK      0.04013
  21   8324843038_R03C02            2            2           OK      0.01327
  22   5434289081_R05C01            2            2           OK      0.04758
  23   5434289041_R03C02            2            2           OK      0.02784
  24   5443804115_R01C01            1            1           OK       0.9442
  25   5434289075_R04C01            2            2           OK      0.05691
  26   8327817141_R03C01            2            2           OK       0.1011
  27   8324843130_R03C02            2            2           OK     -0.03162
  28   8546260098_R01C02            2            2           OK     0.004857
  29   8327817122_R02C02            2            2           OK    -0.008249
  30   5434289003_R04C02            2            2           OK     -0.04672
  31   5443804116_R01C02            2            2           OK      0.04956
  32   5434289104_R04C02            2            2           OK      0.01015
  33   8327817147_R04C02            2            2           OK     -0.04521
  34   8543229215_R01C02            2            2           OK      0.04278
  35   5443804068_R01C01            2            2           OK     -0.07223
  36   8327817131_R04C01            1            1           OK       0.9281
  37   8324843039_R01C01            1            1           OK       0.9182
  38   5434289071_R01C02            2            2           OK     -0.02667
  39   5434289104_R05C01            1            1           OK       0.9376
  40   5434289099_R06C01            2            2           OK      0.02958
  41   8327817131_R05C02            2            2           OK     0.007405
  42   5434289074_R06C02            2            2           OK     0.003192
  43   8327817147_R05C01            2            2           OK     0.003307
  44   8327817131_R01C01            2            2           OK    -0.002418
  45   5443804068_R04C01            1            1           OK       0.9405
  46   5434289099_R02C02            2            2           OK      0.01647
  47   8543229215_R04C02            2            2           OK     -0.01071
  48   8327817147_R01C02            1            1           OK       0.8808
  49   5434289074_R02C01            2            2           OK     -0.01622
  50   5434289071_R05C01            1            1           OK       0.9423
  51   8324843039_R05C02            1            1           OK       0.9299
  52   5443804116_R04C02            1            1           OK       0.9453
  53   5434289104_R01C02            2            2           OK      0.03979
  54   8543229215_R05C01            1            1           OK       0.9264
  55   5434289074_R03C02            2            2           OK    -0.005183
  56   5434289099_R03C01            2            2           OK     -0.01513
  57   5443804068_R05C02            2            2           OK      0.03621
  58   5443804116_R05C01            2            2           OK     -0.04824
  59   8324843039_R04C01            2            2           OK     -0.03028
  60   5434289071_R04C02            2            2           OK      0.06693
  61   5443804115_R05C02            1            1           OK       0.9395
  62   8327817122_R06C01            2            2           OK     0.001232
  63   8546260098_R05C01            2            2           OK      -0.0183
  64   5434289105_R03C01            1            1           OK       0.9401
  65   5443804058_R06C01            2            2           OK     -0.01065
  66   8543229075_R03C02            1            1           OK       0.9235
  67   5434289051_R01C01            1            1           OK       0.9328
  68   5434289058_R06C02            2            2           OK      0.07577
  69   8543229098_R03C01            2            2           OK      0.03496
  70   5434289081_R01C02            2            2           OK      0.05563
  71   8543229003_R03C01            2            2           OK    6.107e-05
  72   5434289001_R03C02            1            1           OK       0.9428
  73   5434289093_R04C01            1            1           OK       0.9389
  74   8546260098_R04C02            1            1           OK        0.937
  75   5434289003_R01C02            2            2           OK      0.04683
  76   8327817141_R06C01            1            1           OK       0.9313
  77   8324843130_R06C02            2            2           OK   -0.0007755
  78   5434289075_R01C01            2            2           OK     -0.02867
  79   5434289041_R06C02            2            2           OK     0.003038
  80   5443804115_R04C01            1            1           OK       0.9396
  81   8543229003_R02C02            1            1           OK       0.9249
  82   8543229098_R02C02            2            2           OK    -0.003956
  83   5434289093_R05C02            1            1           OK       0.9399
  84   5434289001_R02C01            2            2           OK     0.003634
