INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
8324843038_R02C01	730382	0	12982	0.0177743
5434289001_R06C02	730382	0	10720	0.0146773
5434289093_R01C01	730382	0	4357	0.00596537
8543229098_R06C01	730382	0	9623	0.0131753
8543229003_R06C01	730382	0	9685	0.0132602
5434289081_R04C02	730382	0	2648	0.0036255
5434289051_R04C01	730382	0	2404	0.00329143
5434289058_R03C02	730382	0	1571	0.00215093
5443804058_R03C01	730382	0	3057	0.00418548
5434289105_R06C01	730382	0	3791	0.00519043
8543229075_R06C02	730382	0	31981	0.0437867
8324843130_R02C01	730382	0	13501	0.0184848
8327817141_R02C02	730382	0	12609	0.0172636
5434289003_R05C01	730382	0	3987	0.00545879
8327817122_R03C01	730382	0	10650	0.0145814
5434289041_R02C01	730382	0	3375	0.00462087
5434289075_R05C02	730382	0	8054	0.0110271
5434289058_R02C01	730382	0	2075	0.00284098
5434289051_R05C02	730382	0	1973	0.00270133
5443804058_R02C02	730382	0	2862	0.0039185
8324843038_R03C02	730382	0	8481	0.0116117
5434289081_R05C01	730382	0	1981	0.00271228
5434289041_R03C02	730382	0	3331	0.00456063
5443804115_R01C01	730382	0	2307	0.00315862
5434289075_R04C01	730382	0	1900	0.00260138
8327817141_R03C01	730382	0	11518	0.0157698
8324843130_R03C02	730382	0	10310	0.0141159
8546260098_R01C02	730382	0	3188	0.00436484
8327817122_R02C02	730382	0	8623	0.0118062
5434289003_R04C02	730382	0	3858	0.00528217
5443804116_R01C02	730382	0	8497	0.0116336
5434289104_R04C02	730382	0	2321	0.00317779
8327817147_R04C02	730382	0	12835	0.017573
8543229215_R01C02	730382	0	12441	0.0170336
5443804068_R01C01	730382	0	5652	0.00773842
8327817131_R04C01	730382	0	7177	0.00982636
8324843039_R01C01	730382	0	12740	0.0174429
5434289071_R01C02	730382	0	3035	0.00415536
5434289104_R05C01	730382	0	1214	0.00166214
5434289099_R06C01	730382	0	4609	0.0063104
8327817131_R05C02	730382	0	8443	0.0115597
5434289074_R06C02	730382	0	4464	0.00611187
8327817147_R05C01	730382	0	16943	0.0231975
8327817131_R01C01	730382	0	14549	0.0199197
5443804068_R04C01	730382	0	3070	0.00420328
5434289099_R02C02	730382	0	10956	0.0150004
8543229215_R04C02	730382	0	7114	0.00974011
8327817147_R01C02	730382	0	20782	0.0284536
5434289074_R02C01	730382	0	3818	0.0052274
5434289071_R05C01	730382	0	1874	0.00256578
8324843039_R05C02	730382	0	8365	0.0114529
5443804116_R04C02	730382	0	5541	0.00758644
5434289104_R01C02	730382	0	2581	0.00353377
8543229215_R05C01	730382	0	7436	0.010181
5434289074_R03C02	730382	0	3183	0.00435799
5434289099_R03C01	730382	0	2970	0.00406637
5443804068_R05C02	730382	0	3634	0.00497548
5443804116_R05C01	730382	0	8074	0.0110545
8324843039_R04C01	730382	0	9767	0.0133725
5434289071_R04C02	730382	0	3219	0.00440728
5443804115_R05C02	730382	0	2194	0.00300391
8327817122_R06C01	730382	0	14356	0.0196555
8546260098_R05C01	730382	0	2955	0.00404583
5434289105_R03C01	730382	0	2074	0.00283961
5443804058_R06C01	730382	0	3591	0.00491661
8543229075_R03C02	730382	0	12650	0.0173197
5434289051_R01C01	730382	0	1205	0.00164982
5434289058_R06C02	730382	0	5814	0.00796022
8543229098_R03C01	730382	0	16317	0.0223404
5434289081_R01C02	730382	0	2721	0.00372545
8543229003_R03C01	730382	0	10081	0.0138024
5434289001_R03C02	730382	0	2330	0.00319011
5434289093_R04C01	730382	0	1515	0.00207426
