fastq_md5	fastq_ftp
a20f8c38db6b4aa1ddc076f726eca2a8;4106b6e8d2361496a5762c5aa2bd4c44	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225832/ERR225832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225832/ERR225832_2.fastq.gz
284d17e3727aef07d6a1f8dde5cb3591;d4f1dc14b8f0749398a7a1466df7b9c5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225833/ERR225833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225833/ERR225833_2.fastq.gz
94df853f6899eabe1f9873813f411fe7;04aa9308f5632c41d445a348f817d750	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225834/ERR225834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225834/ERR225834_2.fastq.gz
6743e549e6ec95ad5366a0d1aff9b4c8;39daf88cedab8357fe94dd6ef0a4961d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225835/ERR225835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225835/ERR225835_2.fastq.gz
ef08994bfa66d3014518a1d475fd8584;0785de3ae258bdc2d58de4a34d9d175d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225836/ERR225836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225836/ERR225836_2.fastq.gz
1df60fe63228d387a828e6203a37aca5;210ed7c43d070bb118e389ba481243cd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225837/ERR225837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225837/ERR225837_2.fastq.gz
10dedd3bddeecbdde957f27c7a5931d3;0a0cbd6907f0da38a4a8b168b4cea2c4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225838/ERR225838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225838/ERR225838_2.fastq.gz
b281fdb7c0c93e31e5f0fb1126ec2cc5;a281b941d9be1e981891adef84bf60cb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225839/ERR225839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225839/ERR225839_2.fastq.gz
b29d204b8e38fc284cfd674aa3ad00b7;cd5f2d6c0fbaac24aab18bab47b3d1ee	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225840/ERR225840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225840/ERR225840_2.fastq.gz
0b4ea322fc88fbcda17fbef2bf66887f;4e1c1b4b8cabfad887136414abe655e0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225841/ERR225841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225841/ERR225841_2.fastq.gz
88dab88d75bf10c80be410ae8411eead;d82af2b9d243f24a7eefeeb32727291d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225842/ERR225842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225842/ERR225842_2.fastq.gz
5b185fce4590505482c93a9aa578327e;3110109083cc150fb5f1796f2d34d5ab	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225843/ERR225843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225843/ERR225843_2.fastq.gz
1f447eff3c9589161e8fd27ad6c2045a;10ab411f47281519c5af5850b582b0a7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225844/ERR225844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225844/ERR225844_2.fastq.gz
f4f5abbdf98013ffabd86b79605058af;ab35849f265c0b78dfbb0baaac8353d2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225845/ERR225845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225845/ERR225845_2.fastq.gz
b808737cd9f1e356b51e441e6d525241;6b4c5189f3dc91d0e8006a8e5940e35b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225846/ERR225846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225846/ERR225846_2.fastq.gz
994fddca97c2e07f2f2aa67b7ca085e1;78215500d6f0300282612161e78d3831	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225847/ERR225847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225847/ERR225847_2.fastq.gz
aabbae7c29cacf2c99f4b03afae8d351;ec298309bdc46058d1e8b5ce527fbd6d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225848/ERR225848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225848/ERR225848_2.fastq.gz
