Index,File_name,use_for_sorting,sample2,treatment,,,,,
529_IFN,WTCHG_410450_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_410451_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_410452_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_410453_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_427078_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_427079_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_427080_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_427081_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_428530_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_428531_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_428532_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_428533_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_435173_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_435174_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_435175_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_437972_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_437973_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_437974_282181,282181,529,IFN,,,,,
529_IFN,WTCHG_437975_282181,282181,529,IFN,,,,,
529_MET1m,WTCHG_410450_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_410451_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_410452_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_410453_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_427078_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_427079_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_427080_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_427081_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_428530_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_428531_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_428532_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_428533_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_435173_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_435174_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_435175_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_437972_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_437973_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_437974_281193,281193,529,MET1m,,,,,
529_MET1m,WTCHG_437975_281193,281193,529,MET1m,,,,,
530_IFN,WTCHG_410450_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_410451_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_410452_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_410453_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_427078_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_427079_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_427080_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_427081_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_428530_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_428531_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_428532_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_428533_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_435173_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_435174_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_435175_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_437972_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_437973_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_437974_290180,290180,530,IFN,,,,,
530_IFN,WTCHG_437975_290180,290180,530,IFN,,,,,
530_MET1m,WTCHG_410450_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_410451_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_410452_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_410453_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_427078_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_427079_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_427080_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_427081_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_428530_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_428531_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_428532_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_428533_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_435173_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_435174_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_435175_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_437972_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_437973_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_437974_289192,289192,530,MET1m,,,,,
530_MET1m,WTCHG_437975_289192,289192,530,MET1m,,,,,
539_IFN,WTCHG_410450_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_410451_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_410452_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_410453_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_427078_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_427079_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_427080_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_427081_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_428530_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_428531_202179,202179,539,IFN,,,,,
539_IFN,WTCHG_428532_202179,202179,539,IFN,,,,,
