File_name,sample,treatment
WTCHG_238643_203,525,IFN
WTCHG_238643_208,526,IFN
WTCHG_238644_213,528,IFN
WTCHG_238644_218,568,IFN
WTCHG_238648_203,527,IFN
WTCHG_238648_251,594,IFN
WTCHG_238648_301,603,IFN
WTCHG_238648_273,611,IFN
WTCHG_238648_231,683,IFN
WTCHG_238648_239,686,IFN
WTCHG_238648_263,703,IFN
WTCHG_238649_287,552,IFN
WTCHG_238649_295,583,IFN
WTCHG_238649_247,689,IFN
WTCHG_238650_291,632,IFN
WTCHG_238650_255,693,IFN
WTCHG_241361_212,532,IFN
WTCHG_241361_242,537,IFN
WTCHG_241362_234,536,IFN
WTCHG_241362_215,681,IFN
WTCHG_241363_282,618,IFN
WTCHG_241363_207,679,IFN
WTCHG_241365_225,535,IFN
WTCHG_241365_279,566,IFN
WTCHG_241365_223,682,IFN
WTCHG_259281_250,540,IFN
WTCHG_259281_254,550,IFN
WTCHG_259281_257,578,IFN
WTCHG_259282_262,582,IFN
WTCHG_259282_266,585,IFN
WTCHG_259283_270,598,IFN
WTCHG_259283_273,609,IFN
WTCHG_259283_276,613,IFN
WTCHG_259284_277,616,IFN
WTCHG_259284_280,617,IFN
WTCHG_259284_284,626,IFN
WTCHG_259285_286,643,IFN
WTCHG_259285_290,651,IFN
WTCHG_259285_292,668,IFN
WTCHG_259286_223,570,IFN
WTCHG_259286_225,570,MET1m_IFN
WTCHG_259286_294,652,IFN
WTCHG_309072_204,531,IFN
WTCHG_309072_208,533,IFN
WTCHG_309073_212,534,IFN
WTCHG_309073_216,538,IFN
WTCHG_309073_220,619,IFN
WTCHG_308990_224,541,IFN
WTCHG_308990_228,544,IFN
WTCHG_308991_232,545,IFN
WTCHG_308991_240,547,IFN
WTCHG_308992_244,548,IFN
WTCHG_308992_248,551,IFN
WTCHG_308993_252,562,IFN
WTCHG_308993_256,572,IFN
WTCHG_308993_301,574,IFN
WTCHG_308994_264,576,IFN
WTCHG_308994_268,579,IFN
WTCHG_308995_272,580,IFN
WTCHG_308995_276,581,IFN
WTCHG_308996_280,584,IFN
WTCHG_308996_284,599,IFN
WTCHG_308997_288,604,IFN
WTCHG_308997_292,608,IFN
WTCHG_308997_296,612,IFN
WTCHG_238643_202,525,LPS24
WTCHG_238643_207,526,LPS24
WTCHG_238644_212,528,LPS24
WTCHG_238644_217,568,LPS24
WTCHG_238648_202,527,LPS24
WTCHG_238648_268,611,LPS24
WTCHG_238648_238,686,LPS24
