use_for_sorting,File_name,sample,treatment,,,,,,,,
529_LPS24,WTCHG_410446_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_410447_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_410448_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_410449_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_427074_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_427075_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_427076_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_427077_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_428526_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_428527_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_428528_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_428529_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_435168_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_435169_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_435170_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_435171_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_435172_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_437968_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_437969_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_437970_258184,529,LPS24,,,,,,,,
529_LPS24,WTCHG_437971_258184,529,LPS24,,,,,,,,
529_UT,WTCHG_410446_257196,529,UT,,,,,,,,
529_UT,WTCHG_410447_257196,529,UT,,,,,,,,
529_UT,WTCHG_410448_257196,529,UT,,,,,,,,
529_UT,WTCHG_410449_257196,529,UT,,,,,,,,
529_UT,WTCHG_427074_257196,529,UT,,,,,,,,
529_UT,WTCHG_427075_257196,529,UT,,,,,,,,
529_UT,WTCHG_427076_257196,529,UT,,,,,,,,
529_UT,WTCHG_427077_257196,529,UT,,,,,,,,
529_UT,WTCHG_428526_257196,529,UT,,,,,,,,
529_UT,WTCHG_428527_257196,529,UT,,,,,,,,
529_UT,WTCHG_428528_257196,529,UT,,,,,,,,
529_UT,WTCHG_428529_257196,529,UT,,,,,,,,
529_UT,WTCHG_435168_257196,529,UT,,,,,,,,
529_UT,WTCHG_435169_257196,529,UT,,,,,,,,
529_UT,WTCHG_435170_257196,529,UT,,,,,,,,
529_UT,WTCHG_435171_257196,529,UT,,,,,,,,
529_UT,WTCHG_435172_257196,529,UT,,,,,,,,
529_UT,WTCHG_437968_257196,529,UT,,,,,,,,
529_UT,WTCHG_437969_257196,529,UT,,,,,,,,
529_UT,WTCHG_437970_257196,529,UT,,,,,,,,
529_UT,WTCHG_437971_257196,529,UT,,,,,,,,
530_LPS24,WTCHG_410446_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_410447_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_410448_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_410449_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_427074_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_427075_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_427076_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_427077_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_428526_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_428527_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_428528_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_428529_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_435168_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_435169_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_435170_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_435171_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_435172_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_437968_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_437969_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_437970_266183,530,LPS24,,,,,,,,
530_LPS24,WTCHG_437971_266183,530,LPS24,,,,,,,,
530_UT,WTCHG_410446_265195,530,UT,,,,,,,,
530_UT,WTCHG_410447_265195,530,UT,,,,,,,,
530_UT,WTCHG_410448_265195,530,UT,,,,,,,,
530_UT,WTCHG_410449_265195,530,UT,,,,,,,,
530_UT,WTCHG_427074_265195,530,UT,,,,,,,,
530_UT,WTCHG_427075_265195,530,UT,,,,,,,,
530_UT,WTCHG_427076_265195,530,UT,,,,,,,,
530_UT,WTCHG_427077_265195,530,UT,,,,,,,,
530_UT,WTCHG_428526_265195,530,UT,,,,,,,,
530_UT,WTCHG_428527_265195,530,UT,,,,,,,,
530_UT,WTCHG_428528_265195,530,UT,,,,,,,,
530_UT,WTCHG_428529_265195,530,UT,,,,,,,,
530_UT,WTCHG_435168_265195,530,UT,,,,,,,,
530_UT,WTCHG_435169_265195,530,UT,,,,,,,,
530_UT,WTCHG_435170_265195,530,UT,,,,,,,,
530_UT,WTCHG_435171_265195,530,UT,,,,,,,,
530_UT,WTCHG_435172_265195,530,UT,,,,,,,,
530_UT,WTCHG_437968_265195,530,UT,,,,,,,,
530_UT,WTCHG_437969_265195,530,UT,,,,,,,,
530_UT,WTCHG_437970_265195,530,UT,,,,,,,,
530_UT,WTCHG_437971_265195,530,UT,,,,,,,,
539_LPS24,WTCHG_410446_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_410447_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_410448_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_410449_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_427074_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_427075_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_427076_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_427077_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_428526_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_428527_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_428528_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_428529_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_435168_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_435169_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_435170_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_435171_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_435172_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_437968_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_437969_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_437970_274182,539,LPS24,,,,,,,,
539_LPS24,WTCHG_437971_274182,539,LPS24,,,,,,,,
539_UT,WTCHG_410446_273194,539,UT,,,,,,,,
539_UT,WTCHG_410447_273194,539,UT,,,,,,,,
539_UT,WTCHG_410448_273194,539,UT,,,,,,,,
