S525_IFN	WTCHG_238643_203
S525_LPS24	WTCHG_238643_202
S525_MET1m	WTCHG_238643_204
S525_MET1m_IFN	WTCHG_238643_205
S525_UT	WTCHG_238643_201
S526_IFN	WTCHG_238643_208
S526_LPS24	WTCHG_238643_207
S526_MET1m	WTCHG_238643_209
S526_UT	WTCHG_238643_206
S527_IFN	WTCHG_238648_203
S527_LPS24	WTCHG_238648_202
S527_MET1m	WTCHG_241363_204
S527_MET1m_IFN	WTCHG_238649_209
S527_UT	WTCHG_241363_201
S528_IFN	WTCHG_238644_213
S528_LPS24	WTCHG_238644_212
S528_MET1m	WTCHG_238644_214
S528_MET1m_IFN	WTCHG_238644_215
S528_UT	WTCHG_238644_211
S529_IFN	WTCHG_410450_282181;WTCHG_410451_282181;WTCHG_410452_282181;WTCHG_410453_282181;WTCHG_427078_282181;WTCHG_427079_282181;WTCHG_427080_282181;WTCHG_427081_282181;WTCHG_428530_282181;WTCHG_428531_282181;WTCHG_428532_282181;WTCHG_428533_282181;WTCHG_435173_282181;WTCHG_435174_282181;WTCHG_435175_282181;WTCHG_437972_282181;WTCHG_437973_282181;WTCHG_437974_282181;WTCHG_437975_282181
S529_LPS24	WTCHG_410446_258184;WTCHG_410447_258184;WTCHG_410448_258184;WTCHG_410449_258184;WTCHG_427074_258184;WTCHG_427075_258184;WTCHG_427076_258184;WTCHG_427077_258184;WTCHG_428526_258184;WTCHG_428527_258184;WTCHG_428528_258184;WTCHG_428529_258184;WTCHG_435168_258184;WTCHG_435169_258184;WTCHG_435170_258184;WTCHG_435171_258184;WTCHG_435172_258184;WTCHG_437968_258184;WTCHG_437969_258184;WTCHG_437970_258184;WTCHG_437971_258184
S529_MET1m	WTCHG_410450_281193;WTCHG_410451_281193;WTCHG_410452_281193;WTCHG_410453_281193;WTCHG_427078_281193;WTCHG_427079_281193;WTCHG_427080_281193;WTCHG_427081_281193;WTCHG_428530_281193;WTCHG_428531_281193;WTCHG_428532_281193;WTCHG_428533_281193;WTCHG_435173_281193;WTCHG_435174_281193;WTCHG_435175_281193;WTCHG_437972_281193;WTCHG_437973_281193;WTCHG_437974_281193;WTCHG_437975_281193
S529_UT	WTCHG_410446_257196;WTCHG_410447_257196;WTCHG_410448_257196;WTCHG_410449_257196;WTCHG_427074_257196;WTCHG_427075_257196;WTCHG_427076_257196;WTCHG_427077_257196;WTCHG_428526_257196;WTCHG_428527_257196;WTCHG_428528_257196;WTCHG_428529_257196;WTCHG_435168_257196;WTCHG_435169_257196;WTCHG_435170_257196;WTCHG_435171_257196;WTCHG_435172_257196;WTCHG_437968_257196;WTCHG_437969_257196;WTCHG_437970_257196;WTCHG_437971_257196
S530_IFN	WTCHG_410450_290180;WTCHG_410451_290180;WTCHG_410452_290180;WTCHG_410453_290180;WTCHG_427078_290180;WTCHG_427079_290180;WTCHG_427080_290180;WTCHG_427081_290180;WTCHG_428530_290180;WTCHG_428531_290180;WTCHG_428532_290180;WTCHG_428533_290180;WTCHG_435173_290180;WTCHG_435174_290180;WTCHG_435175_290180;WTCHG_437972_290180;WTCHG_437973_290180;WTCHG_437974_290180;WTCHG_437975_290180
S530_LPS24	WTCHG_410446_266183;WTCHG_410447_266183;WTCHG_410448_266183;WTCHG_410449_266183;WTCHG_427074_266183;WTCHG_427075_266183;WTCHG_427076_266183;WTCHG_427077_266183;WTCHG_428526_266183;WTCHG_428527_266183;WTCHG_428528_266183;WTCHG_428529_266183;WTCHG_435168_266183;WTCHG_435169_266183;WTCHG_435170_266183;WTCHG_435171_266183;WTCHG_435172_266183;WTCHG_437968_266183;WTCHG_437969_266183;WTCHG_437970_266183;WTCHG_437971_266183
S530_MET1m	WTCHG_410450_289192;WTCHG_410451_289192;WTCHG_410452_289192;WTCHG_410453_289192;WTCHG_427078_289192;WTCHG_427079_289192;WTCHG_427080_289192;WTCHG_427081_289192;WTCHG_428530_289192;WTCHG_428531_289192;WTCHG_428532_289192;WTCHG_428533_289192;WTCHG_435173_289192;WTCHG_435174_289192;WTCHG_435175_289192;WTCHG_437972_289192;WTCHG_437973_289192;WTCHG_437974_289192;WTCHG_437975_289192
S530_UT	WTCHG_410446_265195;WTCHG_410447_265195;WTCHG_410448_265195;WTCHG_410449_265195;WTCHG_427074_265195;WTCHG_427075_265195;WTCHG_427076_265195;WTCHG_427077_265195;WTCHG_428526_265195;WTCHG_428527_265195;WTCHG_428528_265195;WTCHG_428529_265195;WTCHG_435168_265195;WTCHG_435169_265195;WTCHG_435170_265195;WTCHG_435171_265195;WTCHG_435172_265195;WTCHG_437968_265195;WTCHG_437969_265195;WTCHG_437970_265195;WTCHG_437971_265195
S531_IFN	WTCHG_309072_204
S531_LPS24	WTCHG_309072_202
S531_MET1m	WTCHG_309072_203
S531_UT	WTCHG_309072_201
S532_IFN	WTCHG_241361_212
S532_LPS24	WTCHG_241364_211
S532_MET1m	WTCHG_241366_217
S532_MET1m_IFN	WTCHG_241361_218
S532_UT	WTCHG_241364_210
S533_IFN	WTCHG_309072_208
S533_LPS24	WTCHG_309072_206
S533_MET1m	WTCHG_309072_207
S533_UT	WTCHG_309072_205
S534_IFN	WTCHG_309073_212
S534_LPS24	WTCHG_309072_210
S534_MET1m	WTCHG_309073_211
S534_UT	WTCHG_309072_209
S535_IFN	WTCHG_241365_225
S535_LPS24	WTCHG_241363_220
S535_MET1m_IFN	WTCHG_241362_246
S536_IFN	WTCHG_241362_234
S536_LPS24	WTCHG_241366_233
S536_MET1m	WTCHG_241366_235
S536_UT	WTCHG_241362_213
S537_IFN	WTCHG_241361_242
S537_LPS24	WTCHG_241362_241
S537_MET1m	WTCHG_241366_243
S537_MET1m_IFN	WTCHG_238649_244
S538_IFN	WTCHG_309073_216
S538_LPS24	WTCHG_309073_214
S538_MET1m	WTCHG_309073_215
S538_UT	WTCHG_309073_213
S539_IFN	WTCHG_410450_202179;WTCHG_410451_202179;WTCHG_410452_202179;WTCHG_410453_202179;WTCHG_427078_202179;WTCHG_427079_202179;WTCHG_427080_202179;WTCHG_427081_202179;WTCHG_428530_202179;WTCHG_428531_202179;WTCHG_428532_202179;WTCHG_428533_202179;WTCHG_435173_202179;WTCHG_435174_202179;WTCHG_435175_202179;WTCHG_437972_202179;WTCHG_437973_202179;WTCHG_437974_202179;WTCHG_437975_202179
S539_LPS24	WTCHG_410446_274182;WTCHG_410447_274182;WTCHG_410448_274182;WTCHG_410449_274182;WTCHG_427074_274182;WTCHG_427075_274182;WTCHG_427076_274182;WTCHG_427077_274182;WTCHG_428526_274182;WTCHG_428527_274182;WTCHG_428528_274182;WTCHG_428529_274182;WTCHG_435168_274182;WTCHG_435169_274182;WTCHG_435170_274182;WTCHG_435171_274182;WTCHG_435172_274182;WTCHG_437968_274182;WTCHG_437969_274182;WTCHG_437970_274182;WTCHG_437971_274182
S539_MET1m	WTCHG_410450_201191;WTCHG_410451_201191;WTCHG_410452_201191;WTCHG_410453_201191;WTCHG_427078_201191;WTCHG_427079_201191;WTCHG_427080_201191;WTCHG_427081_201191;WTCHG_428530_201191;WTCHG_428531_201191;WTCHG_428532_201191;WTCHG_428533_201191;WTCHG_435173_201191;WTCHG_435174_201191;WTCHG_435175_201191;WTCHG_437972_201191;WTCHG_437973_201191;WTCHG_437974_201191;WTCHG_437975_201191
S539_UT	WTCHG_410446_273194;WTCHG_410447_273194;WTCHG_410448_273194;WTCHG_410449_273194;WTCHG_427074_273194;WTCHG_427075_273194;WTCHG_427076_273194;WTCHG_427077_273194;WTCHG_428526_273194;WTCHG_428527_273194;WTCHG_428528_273194;WTCHG_428529_273194;WTCHG_435168_273194;WTCHG_435169_273194;WTCHG_435170_273194;WTCHG_435171_273194;WTCHG_435172_273194;WTCHG_437968_273194;WTCHG_437969_273194;WTCHG_437970_273194;WTCHG_437971_273194
S540_IFN	WTCHG_259281_250
S540_LPS24	WTCHG_259281_249
