sample_id	file_name	ega_file_name	cell_type	condition	read_length	paired	stranded	study	protocol	genotype_id	bam_name
UCB018	UC018L_110204_2_sorted.bam	EGAF00000187089	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC018	_EGAR00001105195_UC018L_110204_2_sorted.bam
UCB019	UC019L_100930_1_sorted.bam	EGAF00000187091	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC019	_EGAR00001105197_UC019L_100930_1_sorted.bam
UCB024	UC024L_110204_1_sorted.bam	EGAF00000187093	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC024	_EGAR00001105199_UC024L_110204_1_sorted.bam
UCB025	UC025L_110413_1_sorted.bam	EGAF00000187096	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC025	_EGAR00001105202_UC025L_110413_1_sorted.bam
UCB042	UC042L_100930_2_sorted.bam	EGAF00000187101	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC042	_EGAR00001105207_UC042L_100930_2_sorted.bam
UCB048	UC048L_110413_5_sorted.bam	EGAF00000187104	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC048	_EGAR00001105210_UC048L_110413_5_sorted.bam
UCB049	UC049L_110204_2_sorted.bam	EGAF00000187107	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC049	_EGAR00001105213_UC049L_110204_2_sorted.bam
UCB050	UC050L_110413_1_sorted.bam	EGAF00000187110	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC050	_EGAR00001105216_UC050L_110413_1_sorted.bam
UCB051	UC051L_110204_4_sorted.bam	EGAF00000187113	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC051	_EGAR00001105219_UC051L_110204_4_sorted.bam
UCB060	UC060L_110204_5_sorted.bam	EGAF00000187116	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC060	_EGAR00001105222_UC060L_110204_5_sorted.bam
UCB062	UC062L_100930_3_sorted.bam	EGAF00000187119	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC062	_EGAR00001105225_UC062L_100930_3_sorted.bam
UCB078	UC078L_110204_6_sorted.bam	EGAF00000187121	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC078	_EGAR00001105227_UC078L_110204_6_sorted.bam
UCB086	UC086L_110204_7_sorted.bam	EGAF00000187126	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC086	_EGAR00001105232_UC086L_110204_7_sorted.bam
UCB087	UC087L_110204_6_sorted.bam	EGAF00000187127	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC087	_EGAR00001105233_UC087L_110204_6_sorted.bam
UCB088	UC088L_110204_1_sorted.bam	EGAF00000187130	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC088	_EGAR00001105236_UC088L_110204_1_sorted.bam
UCB093	UC093L_101108_8_sorted.bam	EGAF00000187133	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC093	_EGAR00001105239_UC093L_101108_8_sorted.bam
UCB1001	UCB1001_120315_6_sorted.bam	EGAF00000187239	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1001	_EGAR00001105345_UCB1001_120315_6_sorted.bam
UCB1007	UCB1007_120229_8_sorted.bam	EGAF00000187240	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1007	_EGAR00001105346_UCB1007_120229_8_sorted.bam
UCB100	UC100L_110413_5_sorted.bam	EGAF00000187136	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC100	_EGAR00001105242_UC100L_110413_5_sorted.bam
