sample_id	genotype_id	fq1	fq2	sex	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188021	NA20508	ERR188021_1.fastq.gz	ERR188021_2.fastq.gz	female	SAME124355	TSI	Tuscan	EUR	European
ERR188022	NA12812	ERR188022_1.fastq.gz	ERR188022_2.fastq.gz	male	SAME123023	CEU	CEPH	EUR	European
ERR188023	HG00315	ERR188023_1.fastq.gz	ERR188023_2.fastq.gz	female	SAME124335	FIN	Finnish	EUR	European
ERR188024	NA12749	ERR188024_1.fastq.gz	ERR188024_2.fastq.gz	female	SAME124828	CEU	CEPH	EUR	European
ERR188025	HG00377	ERR188025_1.fastq.gz	ERR188025_2.fastq.gz	female	SAME124752	FIN	Finnish	EUR	European
ERR188026	NA20510	ERR188026_1.fastq.gz	ERR188026_2.fastq.gz	male	SAME124562	TSI	Tuscan	EUR	European
ERR188027	NA07056	ERR188027_1.fastq.gz	ERR188027_2.fastq.gz	female	SAME124375	CEU	CEPH	EUR	European
ERR188028	HG00155	ERR188028_1.fastq.gz	ERR188028_2.fastq.gz	male	SAME124588	GBR	British	EUR	European
ERR188029	HG00355	ERR188029_1.fastq.gz	ERR188029_2.fastq.gz	female	SAME125125	FIN	Finnish	EUR	European
ERR188030	NA19119	ERR188030_1.fastq.gz	ERR188030_2.fastq.gz	male	SAME122944	YRI	Yoruba	AFR	African
ERR188031	HG00350	ERR188031_1.fastq.gz	ERR188031_2.fastq.gz	female	SAME125121	FIN	Finnish	EUR	European
ERR188032	NA12275	ERR188032_1.fastq.gz	ERR188032_2.fastq.gz	female	SAME125263	CEU	CEPH	EUR	European
ERR188033	HG00336	ERR188033_1.fastq.gz	ERR188033_2.fastq.gz	male	SAME123983	FIN	Finnish	EUR	European
ERR188034	HG00273	ERR188034_1.fastq.gz	ERR188034_2.fastq.gz	male	SAME123419	FIN	Finnish	EUR	European
ERR188035	HG00123	ERR188035_1.fastq.gz	ERR188035_2.fastq.gz	female	SAME122875	GBR	British	EUR	European
ERR188036	HG00236	ERR188036_1.fastq.gz	ERR188036_2.fastq.gz	female	SAME123273	GBR	British	EUR	European
ERR188037	NA19236	ERR188037_1.fastq.gz	ERR188037_2.fastq.gz	male	SAME125001	YRI	Yoruba	AFR	African
ERR188038	HG00345	ERR188038_1.fastq.gz	ERR188038_2.fastq.gz	male	SAME124919	FIN	Finnish	EUR	European
ERR188039	NA12144	ERR188039_1.fastq.gz	ERR188039_2.fastq.gz	male	SAME124156	CEU	CEPH	EUR	European
ERR188040	HG00096	ERR188040_1.fastq.gz	ERR188040_2.fastq.gz	male	SAME123268	GBR	British	EUR	European
ERR188041	HG00157	ERR188041_1.fastq.gz	ERR188041_2.fastq.gz	male	SAME124590	GBR	British	EUR	European
ERR188042	NA19204	ERR188042_1.fastq.gz	ERR188042_2.fastq.gz	female	SAME122985	YRI	Yoruba	AFR	African
ERR188043	HG00384	ERR188043_1.fastq.gz	ERR188043_2.fastq.gz	female	SAME123034	FIN	Finnish	EUR	European
ERR188044	NA18498	ERR188044_1.fastq.gz	ERR188044_2.fastq.gz	male	SAME124058	YRI	Yoruba	AFR	African
ERR188045	HG00321	ERR188045_1.fastq.gz	ERR188045_2.fastq.gz	male	SAME123796	FIN	Finnish	EUR	European
ERR188046	HG00320	ERR188046_1.fastq.gz	ERR188046_2.fastq.gz	female	SAME123797	FIN	Finnish	EUR	European
ERR188047	NA06994	ERR188047_1.fastq.gz	ERR188047_2.fastq.gz	male	SAME124931	CEU	CEPH	EUR	European
ERR188048	NA12489	ERR188048_1.fastq.gz	ERR188048_2.fastq.gz	female	SAME125358	CEU	CEPH	EUR	European
ERR188049	NA11931	ERR188049_1.fastq.gz	ERR188049_2.fastq.gz	female	SAME125096	CEU	CEPH	EUR	European
ERR188050	NA20518	ERR188050_1.fastq.gz	ERR188050_2.fastq.gz	male	SAME123178	TSI	Tuscan	EUR	European
ERR188051	NA12830	ERR188051_1.fastq.gz	ERR188051_2.fastq.gz	female	SAME125289	CEU	CEPH	EUR	European
ERR188052	NA20541	ERR188052_1.fastq.gz	ERR188052_2.fastq.gz	female	SAME125147	TSI	Tuscan	EUR	European
ERR188053	HG00242	ERR188053_1.fastq.gz	ERR188053_2.fastq.gz	male	SAME123223	GBR	British	EUR	European
ERR188054	NA20752	ERR188054_1.fastq.gz	ERR188054_2.fastq.gz	male	SAME124177	TSI	Tuscan	EUR	European
ERR188055	NA19171	ERR188055_1.fastq.gz	ERR188055_2.fastq.gz	male	SAME124419	YRI	Yoruba	AFR	African
ERR188056	HG00331	ERR188056_1.fastq.gz	ERR188056_2.fastq.gz	female	SAME123986	FIN	Finnish	EUR	European
ERR188057	HG00262	ERR188057_1.fastq.gz	ERR188057_2.fastq.gz	female	SAME123580	GBR	British	EUR	European
ERR188058	NA12005	ERR188058_1.fastq.gz	ERR188058_2.fastq.gz	male	SAME125143	CEU	CEPH	EUR	European
ERR188059	HG00125	ERR188059_1.fastq.gz	ERR188059_2.fastq.gz	female	SAME122869	GBR	British	EUR	European
ERR188060	NA18517	ERR188060_1.fastq.gz	ERR188060_2.fastq.gz	female	SAME124883	YRI	Yoruba	AFR	African
ERR188061	NA12761	ERR188061_1.fastq.gz	ERR188061_2.fastq.gz	female	SAME124466	CEU	CEPH	EUR	European
ERR188062	NA11992	ERR188062_1.fastq.gz	ERR188062_2.fastq.gz	male	SAME123964	CEU	CEPH	EUR	European
ERR188063	NA20509	ERR188063_1.fastq.gz	ERR188063_2.fastq.gz	male	SAME124354	TSI	Tuscan	EUR	European
ERR188064	NA19144	ERR188064_1.fastq.gz	ERR188064_2.fastq.gz	male	SAME123373	YRI	Yoruba	AFR	African
ERR188065	HG00149	ERR188065_1.fastq.gz	ERR188065_2.fastq.gz	male	SAME124387	GBR	British	EUR	European
ERR188066	NA19118	ERR188066_1.fastq.gz	ERR188066_2.fastq.gz	female	SAME122943	YRI	Yoruba	AFR	African
ERR188067	NA11831	ERR188067_1.fastq.gz	ERR188067_2.fastq.gz	male	SAME124552	CEU	CEPH	EUR	European
ERR188068	NA20759	ERR188068_1.fastq.gz	ERR188068_2.fastq.gz	male	SAME125094	TSI	Tuscan	EUR	European
ERR188069	NA19096	ERR188069_1.fastq.gz	ERR188069_2.fastq.gz	male	SAME123662	YRI	Yoruba	AFR	African
ERR188070	HG00263	ERR188070_1.fastq.gz	ERR188070_2.fastq.gz	female	SAME123581	GBR	British	EUR	European
ERR188071	HG00114	ERR188071_1.fastq.gz	ERR188071_2.fastq.gz	male	SAME125343	GBR	British	EUR	European
ERR188072	NA19137	ERR188072_1.fastq.gz	ERR188072_2.fastq.gz	female	SAME125235	YRI	Yoruba	AFR	African
ERR188073	HG00145	ERR188073_1.fastq.gz	ERR188073_2.fastq.gz	male	SAME124391	GBR	British	EUR	European
ERR188074	NA19257	ERR188074_1.fastq.gz	ERR188074_2.fastq.gz	female	SAME123495	YRI	Yoruba	AFR	African
ERR188075	HG00349	ERR188075_1.fastq.gz	ERR188075_2.fastq.gz	female	SAME124925	FIN	Finnish	EUR	European
ERR188076	NA12006	ERR188076_1.fastq.gz	ERR188076_2.fastq.gz	female	SAME125145	CEU	CEPH	EUR	European
ERR188077	NA11893	ERR188077_1.fastq.gz	ERR188077_2.fastq.gz	male	SAME123044	CEU	CEPH	EUR	European
