sample_id	mbv_genotype_id	het_consistent_frac	hom_consistent_frac	het_min_dist	hom_min_dist
ERR188021	NA20508	0.980129526052399	0.876682162955713	0.509095690109826	0.210426726999756
ERR188022	NA12812	0.976668775703891	0.905469366289771	0.520918319318464	0.216703735648792
ERR188023	HG00315	0.97253029746603	0.897678290079967	0.524488761236359	0.213126582733202
ERR188024	NA12749	0.972795635505751	0.921787709497207	0.532913570210195	0.214492029266652
ERR188026	NA20510	0.976759851801954	0.914931700423928	0.533020797511236	0.222155165973188
ERR188027	NA07056	0.973757131214344	0.888820910234186	0.504439585810712	0.209216909137996
ERR188028	HG00155	0.973458102934921	0.893307839388145	0.520746462723281	0.209772100935921
ERR188029	HG00355	0.97341062314914	0.908685912763333	0.52996736009874	0.208904113251076
ERR188030	NA19119	0.971491228070175	0.931576894743684	0.528150418500593	0.206955715800004
ERR188031	HG00350	0.974284679463962	0.91092508112684	0.542909755175652	0.208735089771543
ERR188032	NA12275	0.973158732455506	0.900510204081633	0.518059906904088	0.219489027320504
ERR188033	HG00336	0.978437788405068	0.921844164681865	0.537414230322208	0.215992238753384
ERR188034	HG00273	0.975969280317106	0.917804033408026	0.532569685030831	0.216540308527148
ERR188035	HG00123	0.973526157736684	0.913101149581661	0.52343214332114	0.224756208983546
ERR188036	HG00236	0.971862251019918	0.921347189182421	0.520747747203125	0.218293274390414
ERR188037	NA19236	0.969476004748177	0.873914881165263	0.493478471056642	0.188684537792166
ERR188038	HG00345	0.978985094078358	0.908488017123408	0.513700378793643	0.220853437717146
ERR188039	NA12144	0.977401129943503	0.844528710725894	0.474736683648748	0.201026905671742
ERR188040	HG00096	0.977987655239087	0.914742733575017	0.514146899117076	0.217196899837507
ERR188041	HG00157	0.970089669573762	0.908906988964792	0.515639991834546	0.220833837626335
ERR188042	NA19204	0.974739108828888	0.907353720502509	0.52360567031689	0.195497425435188
ERR188043	HG00384	0.974573788739821	0.919044963755259	0.51167605129131	0.222443755296045
ERR188044	NA18498	0.975523465703971	0.884005510683703	0.508098439850817	0.187189978839021
ERR188045	HG00321	0.975884895974061	0.91088080067817	0.532146357855119	0.213636651668338
ERR188046	HG00320	0.974846374436706	0.891205687263956	0.532925797950453	0.203405432353665
ERR188047	NA06994	0.973039889958734	0.881682207213366	0.520026577610384	0.202805149004537
ERR188048	NA12489	0.972652770354534	0.9013609185283	0.522341345236007	0.214535303933766
ERR188049	NA11931	0.968519080878631	0.898935504070131	0.507595634946191	0.208529259316061
ERR188050	NA20518	0.976242530243405	0.865058484166482	0.485510370836547	0.213977411641236
ERR188051	NA12830	0.974128938034634	0.910854745673833	0.518677024235985	0.218939263670636
ERR188052	NA20541	0.979013254786451	0.897635838329864	0.512730474156508	0.212386276856415
ERR188053	HG00242	0.968034871049764	0.913774403470716	0.537506832459015	0.211117639623397
ERR188054	NA20752	0.980722198244857	0.909040607420614	0.525072932576688	0.225023348630566
ERR188055	NA19171	0.980195177956372	0.900499848112452	0.512744586470929	0.196475424021417
ERR188056	HG00331	0.974547466603431	0.877368939207482	0.51821948086368	0.199941424741994
ERR188057	HG00262	0.967839763029833	0.907989060025911	0.517292749428414	0.212424543896878
ERR188058	NA12005	0.979468035464302	0.921783467129529	0.544850866090753	0.210795571210126
ERR188059	HG00125	0.975955454315363	0.913377154023805	0.528690148192914	0.220678581153689
ERR188060	NA18517	0.975365224863936	0.902096747564801	0.503535285812353	0.195974963129764
ERR188061	NA12761	0.976901658017972	0.917516464839601	0.52585588657208	0.217897927383225
ERR188062	NA11992	0.980246913580247	0.887704671451287	0.515924051088048	0.216132478937918
ERR188063	NA20509	0.975311269554113	0.903376173669841	0.513039908673693	0.21116938005638
ERR188064	NA19144	0.977701196026759	0.929417887741212	0.526492969805679	0.208804873218224
ERR188065	HG00149	0.978600269179004	0.903085378462208	0.536111309980533	0.213858897625971
ERR188066	NA19118	0.976804626080177	0.889054470709147	0.502203288631617	0.197911768369045
ERR188067	NA11831	0.975302322605413	0.896546431312356	0.518852895477164	0.204599264716702
ERR188068	NA20759	0.974652166959859	0.904209399495839	0.512517054366031	0.221414258804322
ERR188069	NA19096	0.978369065849923	0.903308522383276	0.524272231585491	0.193372221235257
ERR188070	HG00263	0.974175713033511	0.909072905762865	0.524352073777684	0.221455671237823
ERR188071	HG00114	0.977458438996901	0.906228993950258	0.528918261578935	0.204904131472532
ERR188072	NA19137	0.977801840822956	0.913539127150362	0.520653903411861	0.197132040780918
ERR188073	HG00145	0.97203783604381	0.89075356945393	0.524139448812257	0.203803716159719
ERR188074	NA19257	0.972509192785852	0.905694434983993	0.502488640556382	0.196878160865113
ERR188075	HG00349	0.978449456670624	0.893952221445136	0.51342228033631	0.205422755001559
ERR188076	NA12006	0.977872567315383	0.900182481751825	0.522327592854297	0.212963826302042
ERR188077	NA11893	0.972331032767519	0.901624945103206	0.527522687304151	0.205617059445246
ERR188078	HG00372	0.974570883661793	0.871388688478309	0.508485758078998	0.196948726524817
ERR188079	NA20778	0.973148148148148	0.929598230740877	0.528117092247527	0.208773566470024
ERR188080	HG00250	0.979904145295552	0.917108238550069	0.545469452471598	0.217881205237257
ERR188081	NA12814	0.978197584391452	0.904235129600959	0.533570791296388	0.214081879644996
ERR188082	HG00110	0.975257094255007	0.893473156988574	0.517930443046988	0.207732574932654
ERR188083	HG00285	0.972871016935549	0.934493746993747	0.564239095111444	0.209728488777784
ERR188085	NA18520	0.967274384685506	0.901689438375891	0.504238293217051	0.194768732295757
ERR188086	NA11892	0.972178863281609	0.90614976438443	0.510307032945048	0.220351906761599
ERR188087	HG00121	0.969951923076923	0.925403301268855	0.530853487014366	0.214605566580335
ERR188088	NA20504	0.972438421389983	0.908086445185213	0.528228668428278	0.214044885352065
ERR188089	HG00358	0.980337941628264	0.922726997027961	0.548692467247104	0.214579310472423
ERR188090	HG00186	0.978340721975934	0.932915132977345	0.54833943877306	0.224349073573471
ERR188091	HG00256	0.971120494646358	0.877073478397982	0.50674430718594	0.212770062141747
ERR188092	NA12546	0.97478719965521	0.928350133088973	0.542445818408719	0.217674342579559
ERR188094	NA20806	0.972357551366236	0.930204675858525	0.539428791471777	0.217885307049298
ERR188095	HG00137	0.977043535295565	0.919104749877219	0.527736056071188	0.223579596677846
ERR188096	NA18933	0.978866951086417	0.873155904811328	0.502857354924882	0.188067891711704
ERR188097	NA18511	0.974263477056773	0.89706052317294	0.49963053622235	0.202556501725219
ERR188098	HG00337	0.980115690527838	0.917957047464357	0.541761940637999	0.214908400392662
ERR188099	NA12843	0.97410854141712	0.895874115344075	0.516228106634511	0.208430116746545
ERR188100	NA12762	0.981433436030485	0.901067118779296	0.528209094522765	0.214982205088921
ERR188101	NA10847	0.976805612876599	0.896218387283434	0.519992567994455	0.213128989908322
ERR188102	HG00383	0.978559176672384	0.893920386745403	0.505813229933334	0.218185003619873
ERR188103	NA19184	0.977087657672042	0.899502428269225	0.523886825686833	0.193200189235609
ERR188104	NA19146	0.980887616320687	0.920798313576259	0.532867987859418	0.202455412273543
ERR188105	NA20768	0.974623987659082	0.926160543156937	0.532214386661576	0.224776146727904
ERR188107	NA12342	0.964484679665738	0.901505513146735	0.519748053813162	0.20767969384563
ERR188108	NA20754	0.977337110481586	0.929683078664403	0.529611325141272	0.232115920265642
ERR188109	NA19121	0.97379386980276	0.928737905219295	0.532053791699045	0.201623663215524
ERR188110	NA20760	0.976469439562585	0.932334859924908	0.540862188174133	0.228400159213313
ERR188111	HG00255	0.973256311510484	0.925512973935378	0.538979050310145	0.219877394388924
ERR188112	HG00239	0.975787523162446	0.920821330969791	0.546885857582457	0.215743205969791
ERR188113	HG00324	0.976102803035996	0.901464270587523	0.523182303447334	0.20945943442793
ERR188114	NA20534	0.980309038698209	0.910922226944326	0.533337789637224	0.220532794013331
ERR188115	HG00382	0.982158295999371	0.915466499686913	0.551722500147588	0.20869440276296
ERR188116	HG00151	0.976732486479688	0.925687837490357	0.542288467585267	0.221424537791483
ERR188117	HG00268	0.974106638702912	0.910699109194498	0.535143559362771	0.207333541056058
ERR188118	HG00181	0.978504529402733	0.893269730010384	0.5143139517332	0.216886314708948
ERR188119	HG00119	0.974372488306212	0.923345139060484	0.523699378192302	0.221160156437966
ERR188120	NA19256	0.975101662267247	0.905014716804665	0.515557003773377	0.197358814800211
ERR188121	HG00311	0.975260194506057	0.89949664988833	0.535876934594163	0.205777936317734
ERR188122	NA11894	0.969408459497425	0.920974736697185	0.501808428895328	0.219825311409828
ERR188123	HG00313	0.976077313054499	0.915589402278254	0.526930714971731	0.210046790786114
ERR188124	HG00351	0.980561797752809	0.897725291964441	0.528924159457267	0.203680659718304
ERR188125	NA20826	0.975027054024806	0.884144404841726	0.511924644386252	0.216166716054541
ERR188126	NA20766	0.973226338683066	0.906273350443455	0.505890419601767	0.219100873797294
ERR188127	HG00334	0.978746693423333	0.900867553499133	0.518216758519143	0.219362417105766
ERR188128	NA19092	0.970187452445182	0.908486909752432	0.512562639494563	0.194258059311927
ERR188129	NA19197	0.975483047757929	0.923543234683105	0.532552267198283	0.197733441189079
ERR188130	HG00261	0.977503573846964	0.919141093526022	0.544659290056476	0.208336358024748
ERR188131	NA19213	0.967121201633557	0.907412495192043	0.507376770378757	0.201857245508621
ERR188132	NA20797	0.97276525891658	0.916986068017278	0.53410572969461	0.216750153926773
ERR188134	NA12827	0.977701149425287	0.929575614242544	0.559666467344363	0.212380732804209
ERR188136	HG00103	0.977053848086425	0.883671255170543	0.506160672255712	0.205802844762022
ERR188137	NA20812	0.97863058266785	0.914899021973835	0.523406702070835	0.22410535092624
ERR188138	NA20539	0.9748682960532	0.915918785190241	0.54212478119321	0.213754102236249
ERR188139	NA18917	0.979144774068386	0.884636662436135	0.495257772162993	0.201018112047789
ERR188140	NA12716	0.968446223423611	0.816131676303139	0.456758049105862	0.194976622944696
ERR188141	HG00343	0.976231956197113	0.898386085866499	0.512438310396547	0.215758515615128
ERR188142	NA12287	0.976208178438662	0.922176965074963	0.543755668622255	0.220243299920578
ERR188144	HG00139	0.978387314026817	0.89297385620915	0.539348310971278	0.208801158677674
ERR188145	NA20519	0.977414640627076	0.886842178267262	0.518456418880959	0.216388898391998
ERR188146	HG00180	0.980699638118215	0.911398800126302	0.540188177023563	0.210353370285195
ERR188147	NA20804	0.973233030090973	0.783722274402139	0.431949422111788	0.177505226950469
ERR188148	NA12282	0.969987588852533	0.9256718924972	0.541657445850619	0.223612417498379
