run_accession	instrument_model	fastq_ftp	submitted_ftp	sample_title
ERR2021349	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021349/ERR2021349.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1A.BC.CGA.GM12814.fq.gz	CAGE_1A_CGA_GM12814
ERR2021350	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021350/ERR2021350.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1A.BC.CTG.GM11918.fq.gz	CAGE_1A_CTG_GM11918
ERR2021351	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021351/ERR2021351.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1A.BC.GTA.GM06984.fq.gz	CAGE_1A_GTA_GM06984
ERR2021352	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021352/ERR2021352.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1A.BC.TAC.GM11843.fq.gz	CAGE_1A_TAC_GM11843
ERR2021353	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021353/ERR2021353.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1A.BC.TCG.GM11995.fq.gz	CAGE_1A_TCG_GM11995
ERR2021354	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021354/ERR2021354.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1B.BC.ACT.GM12749.fq.gz	CAGE_1B_ACT_GM12749
ERR2021355	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021355/ERR2021355.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1B.BC.CGA.GM12815.fq.gz	CAGE_1B_CGA_GM12815
ERR2021356	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021356/ERR2021356.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1B.BC.GTA.GM11920.fq.gz	CAGE_1B_GTA_GM11920
ERR2021357	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021357/ERR2021357.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1B.BC.TAC.GM11932.fq.gz	CAGE_1B_TAC_GM11932
ERR2021358	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021358/ERR2021358.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1B.BC.TCG.GM11829.fq.gz	CAGE_1B_TCG_GM11829
ERR2021359	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021359/ERR2021359.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1C.BC.ACT.GM11881.fq.gz	CAGE_1C_ACT_GM11881
ERR2021360	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021360/ERR2021360.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1C.BC.CGA.GM12489.fq.gz	CAGE_1C_CGA_GM12489
ERR2021361	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021361/ERR2021361.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1C.BC.CTG.GM11830.fq.gz	CAGE_1C_CTG_GM11830
ERR2021362	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021362/ERR2021362.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1C.BC.GTA.GM11894.fq.gz	CAGE_1C_GTA_GM11894
ERR2021363	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021363/ERR2021363.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1C.BC.TAC.GM11893.fq.gz	CAGE_1C_TAC_GM11893
ERR2021364	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021364/ERR2021364.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1C.BC.TCG.GM07051.fq.gz	CAGE_1C_TCG_GM07051
ERR2021365	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021365/ERR2021365.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1D.BC.ACT.GM12413.fq.gz	CAGE_1D_ACT_GM12413
ERR2021366	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021366/ERR2021366.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1D.BC.CGA.GM11919.fq.gz	CAGE_1D_CGA_GM11919
ERR2021367	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021367/ERR2021367.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1D.BC.CTG.GM12828.fq.gz	CAGE_1D_CTG_GM12828
ERR2021368	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021368/ERR2021368.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1D.BC.GTA.GM12154.fq.gz	CAGE_1D_GTA_GM12154
ERR2021369	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021369/ERR2021369.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1D.BC.TAC.GM10847.fq.gz	CAGE_1D_TAC_GM10847
ERR2021370	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021370/ERR2021370.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.1D.BC.TCG.GM12046.fq.gz	CAGE_1D_TCG_GM12046
ERR2021371	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021371/ERR2021371.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2A.BC.ACT.GM12340.fq.gz	CAGE_2A_ACT_GM12340
ERR2021372	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021372/ERR2021372.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2A.BC.CGA.GM12763.fq.gz	CAGE_2A_CGA_GM12763
ERR2021373	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021373/ERR2021373.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2A.BC.CTG.GM12234.fq.gz	CAGE_2A_CTG_GM12234
ERR2021374	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021374/ERR2021374.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2A.BC.GTA.GM07056.fq.gz	CAGE_2A_GTA_GM07056
ERR2021375	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021375/ERR2021375.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2A.BC.TAC.GM11831.fq.gz	CAGE_2A_TAC_GM11831
ERR2021376	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021376/ERR2021376.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2A.BC.TCG.GM12778.fq.gz	CAGE_2A_TCG_GM12778
ERR2021377	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021377/ERR2021377.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2B.BC.ACT.GM12827.fq.gz	CAGE_2B_ACT_GM12827
ERR2021378	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2021378/ERR2021378.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2B.BC.CGA.GM11931.fq.gz	CAGE_2B_CGA_GM11931
ERR2021379	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2021379/ERR2021379.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2B.BC.CTG.GM12776.fq.gz	CAGE_2B_CTG_GM12776
ERR2021380	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2021380/ERR2021380.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2B.BC.GTA.GM12414.fq.gz	CAGE_2B_GTA_GM12414
ERR2021381	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2021381/ERR2021381.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2B.BC.TAC.GM12843.fq.gz	CAGE_2B_TAC_GM12843
ERR2021382	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2021382/ERR2021382.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2B.BC.TCG.GM07357.fq.gz	CAGE_2B_TCG_GM07357
ERR2021383	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2021383/ERR2021383.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2C.BC.ACT.GM12761.fq.gz	CAGE_2C_ACT_GM12761
ERR2021384	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2021384/ERR2021384.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2C.BC.CGA.GM07347.fq.gz	CAGE_2C_CGA_GM07347
ERR2021385	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2021385/ERR2021385.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2C.BC.CTG.GM12842.fq.gz	CAGE_2C_CTG_GM12842
ERR2021386	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2021386/ERR2021386.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2C.BC.GTA.GM12287.fq.gz	CAGE_2C_GTA_GM12287
ERR2021387	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2021387/ERR2021387.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA969/ERA969556/fastq/CAGE.2C.BC.TAC.GM12777.fq.gz	CAGE_2C_TAC_GM12777
