biosample_id	sample_id	sample_name	sex	donor_id
SAMN09431879	SRR4273730	IGTB1164	female	IGTB1164
SAMN09431833	SRR4273839	IGTB1077_0hr_Atac13	female	IGTB1077
SAMN09431828	SRR4273840	IGTB1130_0hr_Atac13	female	IGTB1130
SAMN09431914	SRR4295500	IGTB109	male	IGTB109
SAMN09431856	SRR4295501	IGTB1140	male	IGTB1140
SAMN09431843	SRR4295502	IGTB1190	male	IGTB1190
SAMN09431846	SRR4295503	IGTB1191	female	IGTB1191
SAMN09431855	SRR4295504	IGTB1193	male	IGTB1193
SAMN09431880	SRR4295505	IGTB1197	male	IGTB1197
SAMN09431900	SRR4295506	IGTB1198	female	IGTB1198
SAMN09431849	SRR4295507	IGTB1203	female	IGTB1203
SAMN09431805	SRR4295508	IGTB1212	female	IGTB1212
SAMN09431886	SRR4295509	IGTB1216	male	IGTB1216
SAMN09431918	SRR4295510	IGTB1227	female	IGTB1227
SAMN09431860	SRR4295511	IGTB1236	female	IGTB1236
SAMN09431827	SRR4295512	IGTB1240	male	IGTB1240
SAMN09431854	SRR4295513	IGTB1243	female	IGTB1243
SAMN09431904	SRR4295514	IGTB1248	female	IGTB1248
SAMN09431864	SRR4295515	IGTB1275	female	IGTB1275
SAMN09431847	SRR4295516	IGTB1279	female	IGTB1279
SAMN09431830	SRR4295517	IGTB1282	female	IGTB1282
SAMN09431806	SRR4295518	IGTB1294	female	IGTB1294
SAMN09431871	SRR4295519	IGTB1305	male	IGTB1305
SAMN09431818	SRR4295520	IGTB1312	female	IGTB1312
SAMN09431804	SRR4295521	IGTB1321	male	IGTB1321
SAMN09431873	SRR4295522	IGTB1323	male	IGTB1323
SAMN09431869	SRR4295523	IGTB1324	male	IGTB1324
SAMN09431890	SRR4295524	IGTB1359	male	IGTB1359
SAMN09431895	SRR4295525	IGTB1365	female	IGTB1365
SAMN09431848	SRR4295526	IGTB1372	female	IGTB1372
SAMN09431911	SRR4295527	IGTB1393	female	IGTB1393
SAMN09431821	SRR4295528	IGTB1394	male	IGTB1394
SAMN09431831	SRR4295529	IGTB1411	female	IGTB1411
SAMN09431832	SRR4295530	IGTB1415	female	IGTB1415
SAMN09431908	SRR4295531	IGTB1424	female	IGTB1424
SAMN09431826	SRR4295532	IGTB1432	male	IGTB1432
SAMN09431839	SRR4295533	IGTB1436	female	IGTB1436
SAMN09431829	SRR4295534	IGTB1458	male	IGTB1458
SAMN09431811	SRR4295535	IGTB1483	male	IGTB1483
SAMN09431836	SRR4295536	IGTB1487	female	IGTB1487
SAMN09431817	SRR4295537	IGTB1502	female	IGTB1502
SAMN09431809	SRR4295538	IGTB1505	female	IGTB1505
SAMN09431875	SRR4295539	IGTB1506	female	IGTB1506
SAMN09431897	SRR4295540	IGTB1538	male	IGTB1538
SAMN09431877	SRR4295541	IGTB1547	male	IGTB1547
SAMN09431896	SRR4295542	IGTB1553	female	IGTB1553
SAMN09431813	SRR4295543	IGTB1563	female	IGTB1563
SAMN09431807	SRR4295544	IGTB1569	female	IGTB1569
SAMN09431816	SRR4295545	IGTB1576	male	IGTB1576
SAMN09431912	SRR4295546	IGTB1586	male	IGTB1586
SAMN09431823	SRR4295547	IGTB1587	female	IGTB1587
SAMN09431808	SRR4295548	IGTB1589	female	IGTB1589
SAMN09431893	SRR4295549	IGTB1591	male	IGTB1591
SAMN09431917	SRR4295550	IGTB178	female	IGTB178
SAMN09431845	SRR4295551	IGTB190	male	IGTB190
SAMN09431840	SRR4295552	IGTB195	female	IGTB195
SAMN09431852	SRR4295553	IGTB231	male	IGTB231
SAMN09431889	SRR4295554	IGTB234	female	IGTB234
SAMN09431899	SRR4295555	IGTB330	female	IGTB330
SAMN09431865	SRR4295556	IGTB350	female	IGTB350
SAMN09431857	SRR4295557	IGTB374	female	IGTB374
SAMN09431867	SRR4295558	IGTB398	female	IGTB398
SAMN09431902	SRR4295559	IGTB467	female	IGTB467
SAMN09431913	SRR4295560	IGTB481	male	IGTB481
SAMN09431905	SRR4295561	IGTB494	female	IGTB494
SAMN09431859	SRR4295562	IGTB496	female	IGTB496
SAMN09431824	SRR4295563	IGTB501	female	IGTB501
SAMN09431881	SRR4295564	IGTB506	female	IGTB506
SAMN09431915	SRR4295565	IGTB507	female	IGTB507
SAMN09431863	SRR4295566	IGTB529	male	IGTB529
SAMN09431885	SRR4295567	IGTB572	male	IGTB572
SAMN09431878	SRR4295568	IGTB576	female	IGTB576
SAMN09431803	SRR4295569	IGTB611	female	IGTB611
SAMN09431898	SRR4295570	IGTB619	female	IGTB619
SAMN09431919	SRR4295571	IGTB621	female	IGTB621
SAMN09431834	SRR4295572	IGTB638	male	IGTB638
SAMN09431815	SRR4295573	IGTB655	female	IGTB655
SAMN09431812	SRR4295574	IGTB661	female	IGTB661
SAMN09431901	SRR4295575	IGTB677	male	IGTB677
SAMN09431892	SRR4295576	IGTB688	male	IGTB688
SAMN09431891	SRR4295577	IGTB694	female	IGTB694
SAMN09431825	SRR4295578	IGTB707	male	IGTB707
SAMN09431837	SRR4295579	IGTB70	male	IGTB70
SAMN09431907	SRR4295580	IGTB712	female	IGTB712
SAMN09431822	SRR4295581	IGTB713	female	IGTB713
SAMN09431887	SRR4295582	IGTB719	female	IGTB719
SAMN09431906	SRR4295583	IGTB731	female	IGTB731
SAMN09431861	SRR4295584	IGTB737	male	IGTB737
SAMN09431866	SRR4295585	IGTB780	female	IGTB780
SAMN09431882	SRR4295586	IGTB803	female	IGTB803
SAMN09431853	SRR4295587	IGTB824	female	IGTB824
SAMN09431894	SRR4295588	IGTB836	female	IGTB836
SAMN09431910	SRR4295589	IGTB839	male	IGTB839
SAMN09431820	SRR4295590	IGTB843	female	IGTB843
SAMN09431841	SRR4295591	IGTB853	female	IGTB853
SAMN09431876	SRR4295592	IGTB863	female	IGTB863
SAMN09431883	SRR4295593	IGTB865	female	IGTB865
SAMN09431800	SRR4295594	IGTB867	female	IGTB867
SAMN09431903	SRR4295595	IGTB874	female	IGTB874
SAMN09431819	SRR4295596	IGTB911	male	IGTB911
SAMN09431872	SRR4295598	IGTB929	male	IGTB929
SAMN09431851	SRR4295600	IGTB95	male	IGTB95
SAMN09431835	SRR4295601	IGTB965	female	IGTB965
SAMN09431909	SRR4295602	IGTB979	male	IGTB979
SAMN09431870	SRR4295603	IGTB980	female	IGTB980
SAMN09431810	SRR4295604	IGTB1077_48hr_Atac13	female	IGTB1077
SAMN09431874	SRR4295605	IGTB1130_48hr_Atac13	female	IGTB1130
SAMN09431802	SRR4295606	IGTB1133_48hr_Atac13_rep1	female	IGTB1133
SAMN09431862	SRR4295607	IGTB1133_48hr_Atac13_rep2	female	IGTB1133
SAMN09431844	SRR4295608	IGTB1218_48hr_Atac13	female	IGTB1218
SAMN09431814	SRR4295609	IGTB1219_48hr_Atac13	female	IGTB1219
SAMN09431842	SRR4295610	IGTB1133_0hr_Atac13_rep1	female	IGTB1133
SAMN09431801	SRR4295611	IGTB1133_0hr_Atac13_rep2	female	IGTB1133
SAMN09431850	SRR4295612	IGTB1218_0hr_Atac13	female	IGTB1218
SAMN09431868	SRR4295613	IGTB1219_0hr_Atac13	female	IGTB1219
SAMN09431884	SRR4780879	IGTB920	male	IGTB920
SAMN09431858	SRR4780880	IGTB950	female	IGTB950
