biosample_id	sample_id	sample_name	sex	donor_id
SAMN09431843	SRR4295614	IGTB1190	male	IGTB1190
SAMN09431846	SRR4295615	IGTB1191	female	IGTB1191
SAMN09431855	SRR4295616	IGTB1193	male	IGTB1193
SAMN09431900	SRR4295617	IGTB1198	female	IGTB1198
SAMN09431805	SRR4295618	IGTB1212	female	IGTB1212
SAMN09431886	SRR4295619	IGTB1216	male	IGTB1216
SAMN09431918	SRR4295620	IGTB1227	female	IGTB1227
SAMN09431860	SRR4295621	IGTB1236	female	IGTB1236
SAMN09431827	SRR4295622	IGTB1240	male	IGTB1240
SAMN09431864	SRR4295623	IGTB1275	female	IGTB1275
SAMN09431847	SRR4295624	IGTB1279	female	IGTB1279
SAMN09431804	SRR4295625	IGTB1321	male	IGTB1321
SAMN09431871	SRR4295626	IGTB1305	male	IGTB1305
SAMN09431869	SRR4295627	IGTB1324	male	IGTB1324
SAMN09431895	SRR4295628	IGTB1365	female	IGTB1365
SAMN09431848	SRR4295629	IGTB1372	female	IGTB1372
SAMN09431911	SRR4295630	IGTB1393	female	IGTB1393
SAMN09431832	SRR4295631	IGTB1415	female	IGTB1415
SAMN09431908	SRR4295632	IGTB1424	female	IGTB1424
SAMN09431826	SRR4295633	IGTB1432	male	IGTB1432
SAMN09431829	SRR4295634	IGTB1458	male	IGTB1458
SAMN09431811	SRR4295635	IGTB1483	male	IGTB1483
SAMN09431877	SRR4295636	IGTB1547	male	IGTB1547
SAMN09431888	SRR4295637	IGTB1571	female	IGTB1571
SAMN09431808	SRR4295638	IGTB1589	female	IGTB1589
SAMN09431838	SRR4295639	IGTB218	female	IGTB218
SAMN09431852	SRR4295640	IGTB231	male	IGTB231
SAMN09431889	SRR4295641	IGTB234	female	IGTB234
SAMN09431865	SRR4295642	IGTB350	female	IGTB350
SAMN09431859	SRR4295643	IGTB496	female	IGTB496
SAMN09431881	SRR4295644	IGTB506	female	IGTB506
SAMN09431803	SRR4295645	IGTB611	female	IGTB611
SAMN09431919	SRR4295646	IGTB621	female	IGTB621
SAMN09431892	SRR4295647	IGTB688	male	IGTB688
SAMN09431837	SRR4295648	IGTB70	male	IGTB70
SAMN09431907	SRR4295649	IGTB712	female	IGTB712
SAMN09431861	SRR4295650	IGTB737	male	IGTB737
SAMN09431853	SRR4295651	IGTB824	female	IGTB824
SAMN09431916	SRR4295652	IGTB838	male	IGTB838
SAMN09431883	SRR4295653	IGTB865	female	IGTB865
SAMN09431879	SRR4295654	IGTB1164	female	IGTB1164
SAMN09431904	SRR4295655	IGTB1248	female	IGTB1248
SAMN09431830	SRR4295656	IGTB1282	female	IGTB1282
SAMN09431818	SRR4295657	IGTB1312	female	IGTB1312
SAMN09431831	SRR4295658	IGTB1411	female	IGTB1411
SAMN09431839	SRR4295659	IGTB1436	female	IGTB1436
SAMN09431836	SRR4295660	IGTB1487	female	IGTB1487
SAMN09431817	SRR4295661	IGTB1502	female	IGTB1502
SAMN09431809	SRR4295662	IGTB1505	female	IGTB1505
SAMN09431875	SRR4295663	IGTB1506	female	IGTB1506
SAMN09431897	SRR4295664	IGTB1538	male	IGTB1538
SAMN09431896	SRR4295665	IGTB1553	female	IGTB1553
SAMN09431813	SRR4295666	IGTB1563	female	IGTB1563
SAMN09431807	SRR4295667	IGTB1569	female	IGTB1569
SAMN09431816	SRR4295668	IGTB1576	male	IGTB1576
SAMN09431912	SRR4295669	IGTB1586	male	IGTB1586
SAMN09431823	SRR4295670	IGTB1587	female	IGTB1587
SAMN09431893	SRR4295671	IGTB1591	male	IGTB1591
SAMN09431840	SRR4295672	IGTB195	female	IGTB195
SAMN09431899	SRR4295673	IGTB330	female	IGTB330
SAMN09431857	SRR4295674	IGTB374	female	IGTB374
SAMN09431824	SRR4295675	IGTB501	female	IGTB501
SAMN09431878	SRR4295676	IGTB576	female	IGTB576
SAMN09431898	SRR4295677	IGTB619	female	IGTB619
SAMN09431834	SRR4295678	IGTB638	male	IGTB638
SAMN09431887	SRR4295679	IGTB719	female	IGTB719
SAMN09431906	SRR4295680	IGTB731	female	IGTB731
SAMN09431866	SRR4295681	IGTB780	female	IGTB780
SAMN09431910	SRR4295682	IGTB839	male	IGTB839
SAMN09431876	SRR4295683	IGTB863	female	IGTB863
SAMN09431903	SRR4295684	IGTB874	female	IGTB874
SAMN09431870	SRR4295685	IGTB980	female	IGTB980
SAMN09431856	SRR4295686	IGTB1140	male	IGTB1140
SAMN09431917	SRR4295687	IGTB178	female	IGTB178
SAMN09431845	SRR4295688	IGTB190	male	IGTB190
SAMN09431902	SRR4295689	IGTB467	female	IGTB467
SAMN09431905	SRR4295690	IGTB494	female	IGTB494
SAMN09431915	SRR4295691	IGTB507	female	IGTB507
SAMN09431863	SRR4295692	IGTB529	male	IGTB529
SAMN09431885	SRR4295693	IGTB572	male	IGTB572
SAMN09431815	SRR4295694	IGTB655	female	IGTB655
SAMN09431812	SRR4295695	IGTB661	female	IGTB661
SAMN09431901	SRR4295696	IGTB677	male	IGTB677
SAMN09431891	SRR4295697	IGTB694	female	IGTB694
SAMN09431825	SRR4295698	IGTB707	male	IGTB707
