Study	BioSampleID	GenotypeID	Comment
HipSci	SAMEA4449169	HPSI0813i-mioj_1	Missing VCF
HipSci	SAMEA4449172	HPSI0813i-mioj_4	Missing VCF
HipSci	SAMEA4451488	HPSI0613i-oesx_3	Missing VCF
HipSci	SAMEA4451496	HPSI0813i-peoj_1	Missing VCF
HipSci	SAMEA2595426	HPSI0114i-vabj_3	MBV QC analysis failed (possible contamination HPSI0513i-xegx_1/SAMEA2398343)
HipSci	SAMEA4339705	HPSI0614i-wihj_1	MBV QC analysis failed (did not match with any VCF, also failed RNA QC)
HipSci	SAMEA2397802	HPSI0813i-civh_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398294	HPSI1113i-nibo_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2398347	HPSI0513i-leeh_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398530	HPSI0813i-ffdj_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2397979	HPSI0913i-ffdl_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2201445	HPSI0813i-fpdr_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398680	HPSI0613i-qony_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2399080	HPSI0613i-zisa_33	excluded to avoid cell_line from same donor
HipSci	SAMEA2399242	HPSI0713i-foop_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398471	HPSI0513i-oarz_22	excluded to avoid cell_line from same donor
HipSci	SAMEA2398297	HPSI0413i-peop_4	excluded to avoid cell_line from same donor
HipSci	SAMEA2398982	HPSI0913i-gedo_33	excluded to avoid cell_line from same donor
HipSci	SAMEA3143053	HPSI1114i-qibk_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2399460	HPSI0813i-meqo_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2397889	HPSI0413i-iakz_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2399249	HPSI0813i-ffdm_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2399264	HPSI0413i-coxy_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2399194	HPSI1213i-foqj_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398841	HPSI0613i-oomz_22	excluded to avoid cell_line from same donor
HipSci	SAMEA2399037	HPSI0713i-kaks_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398883	HPSI0813i-ffdc_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398295	HPSI0613i-qanu_2	excluded to avoid cell_line from same donor
