[Header]
INVESTIGATOR NAME,BeadStudio User
PROJECT NAME,HipSci_proj
EXPERIMENT NAME,HipSci_proj
DATE,10/7/2018 1:19:05 PM
[Manifests]
A,HumanCoreExome-12-v1-1-C
[Data]
Sample_ID,SentrixBarcode_A,SentrixPosition_A,Path,Aux
HPSI0213i-xeaw_1,9969483045,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213i-xeaw_3,9969483045,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0213pf-xeaw,9969483045,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-corn_1,9969483145,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-zodd_1,9970499009,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-zodd_2,9970499009,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-zodd_3,9970499009,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-corn,9969483145,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dovq_1,9741953050,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dovq_2,9741953050,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dovq_3,9741953050,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-dovq_33,9741953050,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-momt_2,9970495123,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-momt_3,9970495123,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-netf_1,9969483100,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-netf_2,9969483100,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-netf_3,9969483100,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oibg_1,9741778087,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oibg_2,9741778087,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oibg_3,9741778087,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-pedc_1,9970498043,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-zaui_1,9741952122,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-zaui_2,9741952122,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-zaui_3,9741952122,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-dovq,9741953050,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-momt,9970495123,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-netf,9969483145,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-oibg,9741778087,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-pedc,9970498043,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-zaui,9741952122,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-aevs_1,9741953046,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-aevs_2,9741953046,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-aevs_3,9741953046,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bawa_1,9969483090,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bawa_2,9969483090,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bawa_3,9969483090,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bohf_1,9878599118,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bohf_2,9878599124,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-kewt_1,9970498002,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-kewt_2,9970498002,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-kewt_3,9970498002,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-lula_1,9969483030,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-lula_2,9969483030,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-lula_3,9969483030,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-nukw_1,9970498023,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-nukw_3,9970498023,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-sucu_1,9970498043,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-sucu_2,9970498043,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-sucu_3,9970498043,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-uait_6,9970498043,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-uexy_2,9741952101,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-xosg_2,9723038152,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-xosg_3,9723038152,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-xucm_1,9741952052,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-xucm_2,9741952052,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-xucm_3,9741952052,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-aevs,9741953046,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-bawa,9969483090,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-bohf,9878599118,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-kewt,9970498002,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-lula,9969483030,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-nukw,9970498023,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-sucu,9970498043,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-uait,9970498043,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-uexy,9741952101,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-xosg,9723038152,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613pf-xucm,9741952052,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-cicb_1,9741952101,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-cicb_2,9741952101,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-cicb_3,9741952101,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-gaab_2,9970495123,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-javm_1,9970498043,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-javm_2,9970498043,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-nemb_1,9741952145,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-nemb_2,9741952145,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-nemb_3,9741952145,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-pusf_1,9878599148,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-pusf_2,9878599148,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-pusf_3,9878599148,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-terl_1,9741952145,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-terl_2,9741952145,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-terl_3,9741952145,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-uimo_1,9741953050,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-uimo_2,9741953050,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-veku_1,9741952138,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-veku_2,9741952138,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-yezj_1,9741952138,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-yezj_2,9741778064,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-yezj_3,9741778064,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713i-zunf_2,9970498156,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713pf-cicb,9741952101,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713pf-gaab,9970495123,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713pf-javm,9970498043,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713pf-nemb,9741952145,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713pf-pusf,9878599164,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713pf-terl,9741952145,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713pf-uimo,9741953050,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713pf-veku,9741952138,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0713pf-yezj,9741778064,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-aizi_1,9741778139,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-aizi_2,9741778139,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-aizi_3,9741778139,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-guss_1,9969483121,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-iill_1,9741778156,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-iill_2,9741778156,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-iill_3,9741778156,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-raki_1,9741952158,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-raki_2,9741952158,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-raki_3,9741952158,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-robp_2,9741953156,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-robp_3,9741953156,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-vajx_1,9741778064,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-vajx_2,9741778064,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-wots_1,9723038152,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-wots_2,9723038152,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-wots_3,9723038152,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-zexw_1,9969483121,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0813i-zexw_2,9969483089,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
