sample_id(HipSci_cellline_id)	EGAN	EGAR	file_name
SAMEA2201445	EGAN00001173844	EGAR00001170194	EGAR00001170194_11221_8#1.cram
SAMEA2201445	EGAN00001173844	EGAR00001179344	EGAR00001179344_11387_1#1.cram
SAMEA2201445	EGAN00001173844	EGAR00001340044	EGAR00001340044_12710_1#1.cram
SAMEA2201448	EGAN00001173847	EGAR00001170195	EGAR00001170195_11221_8#2.cram
SAMEA2201448	EGAN00001173847	EGAR00001179345	EGAR00001179345_11387_1#2.cram
SAMEA2201448	EGAN00001173847	EGAR00001340045	EGAR00001340045_12710_1#2.cram
SAMEA2201447	EGAN00001173846	EGAR00001170196	EGAR00001170196_11221_8#3.cram
SAMEA2201447	EGAN00001173846	EGAR00001179346	EGAR00001179346_11387_1#3.cram
SAMEA2201447	EGAN00001173846	EGAR00001340046	EGAR00001340046_12710_1#3.cram
SAMEA2201446	EGAN00001173845	EGAR00001170197	EGAR00001170197_11221_8#4.cram
SAMEA2201446	EGAN00001173845	EGAR00001179347	EGAR00001179347_11387_1#4.cram
SAMEA2201446	EGAN00001173845	EGAR00001340047	EGAR00001340047_12710_1#4.cram
SAMEA2201450	EGAN00001173849	EGAR00001170198	EGAR00001170198_11221_8#5.cram
SAMEA2201450	EGAN00001173849	EGAR00001179348	EGAR00001179348_11387_1#5.cram
SAMEA2201450	EGAN00001173849	EGAR00001340048	EGAR00001340048_12710_1#5.cram
SAMEA2201451	EGAN00001173850	EGAR00001170200	EGAR00001170200_11221_8#7.cram
SAMEA2201451	EGAN00001173850	EGAR00001179350	EGAR00001179350_11387_1#7.cram
SAMEA2201451	EGAN00001173850	EGAR00001340049	EGAR00001340049_12710_1#7.cram
SAMEA2399275	EGAN00001222745	EGAR00001170201	EGAR00001170201_11221_8#8.cram
SAMEA2399275	EGAN00001222745	EGAR00001179351	EGAR00001179351_11387_1#8.cram
SAMEA2399275	EGAN00001222745	EGAR00001340050	EGAR00001340050_12710_1#8.cram
SAMEA2398530	EGAN00001200329	EGAR00001193477	EGAR00001193477_12062_2#1.cram
SAMEA2398530	EGAN00001200329	EGAR00001193600	EGAR00001193600_12086_1#1.cram
SAMEA2399089	EGAN00001200330	EGAR00001193478	EGAR00001193478_12062_2#2.cram
SAMEA2399089	EGAN00001200330	EGAR00001193601	EGAR00001193601_12086_1#2.cram
SAMEA2398883	EGAN00001200331	EGAR00001193479	EGAR00001193479_12062_2#3.cram
SAMEA2398883	EGAN00001200331	EGAR00001193602	EGAR00001193602_12086_1#3.cram
SAMEA2398313	EGAN00001200332	EGAR00001193480	EGAR00001193480_12062_2#4.cram
SAMEA2398313	EGAN00001200332	EGAR00001193603	EGAR00001193603_12086_1#4.cram
SAMEA2398496	EGAN00001200333	EGAR00001193481	EGAR00001193481_12062_2#5.cram
SAMEA2398496	EGAN00001200333	EGAR00001193604	EGAR00001193604_12086_1#5.cram
SAMEA2398982	EGAN00001200334	EGAR00001193482	EGAR00001193482_12062_2#6.cram
SAMEA2398982	EGAN00001200334	EGAR00001193605	EGAR00001193605_12086_1#6.cram
SAMEA2397905	EGAN00001200335	EGAR00001193483	EGAR00001193483_12062_2#7.cram
SAMEA2397905	EGAN00001200335	EGAR00001193606	EGAR00001193606_12086_1#7.cram
SAMEA2398515	EGAN00001200336	EGAR00001193484	EGAR00001193484_12062_2#8.cram
SAMEA2398515	EGAN00001200336	EGAR00001193607	EGAR00001193607_12086_1#8.cram
SAMEA2398494	EGAN00001205571	EGAR00001205032	EGAR00001205032_12286_6#1.cram
SAMEA2398494	EGAN00001205571	EGAR00001207650	EGAR00001207650_12382_1#1.cram
SAMEA2398021	EGAN00001205572	EGAR00001205033	EGAR00001205033_12286_6#2.cram
SAMEA2398021	EGAN00001205572	EGAR00001207651	EGAR00001207651_12382_1#2.cram
SAMEA2398371	EGAN00001205573	EGAR00001205034	EGAR00001205034_12286_6#3.cram
SAMEA2398371	EGAN00001205573	EGAR00001207652	EGAR00001207652_12382_1#3.cram
SAMEA2399182	EGAN00001205574	EGAR00001205035	EGAR00001205035_12286_6#4.cram
SAMEA2399182	EGAN00001205574	EGAR00001207653	EGAR00001207653_12382_1#4.cram
SAMEA2399249	EGAN00001205575	EGAR00001205036	EGAR00001205036_12286_6#5.cram
SAMEA2399249	EGAN00001205575	EGAR00001207654	EGAR00001207654_12382_1#5.cram
SAMEA2399123	EGAN00001205576	EGAR00001205037	EGAR00001205037_12286_6#6.cram
SAMEA2399123	EGAN00001205576	EGAR00001207655	EGAR00001207655_12382_1#6.cram
SAMEA2397955	EGAN00001205577	EGAR00001205038	EGAR00001205038_12286_6#7.cram
SAMEA2397955	EGAN00001205577	EGAR00001207656	EGAR00001207656_12382_1#7.cram
SAMEA2399188	EGAN00001224021	EGAR00001226345	EGAR00001226345_12820_7#1.cram
SAMEA2399188	EGAN00001224021	EGAR00001228029	EGAR00001228029_12880_6#1.cram
SAMEA2398240	EGAN00001224022	EGAR00001226346	EGAR00001226346_12820_7#2.cram
SAMEA2398240	EGAN00001224022	EGAR00001228030	EGAR00001228030_12880_6#2.cram
SAMEA2399200	EGAN00001224023	EGAR00001226347	EGAR00001226347_12820_7#3.cram
SAMEA2399200	EGAN00001224023	EGAR00001228031	EGAR00001228031_12880_6#3.cram
SAMEA2397812	EGAN00001224024	EGAR00001226348	EGAR00001226348_12820_7#4.cram
SAMEA2397812	EGAN00001224024	EGAR00001228032	EGAR00001228032_12880_6#4.cram
SAMEA2398712	EGAN00001224025	EGAR00001226349	EGAR00001226349_12820_7#5.cram
SAMEA2398712	EGAN00001224025	EGAR00001228033	EGAR00001228033_12880_6#5.cram
SAMEA2398345	EGAN00001224026	EGAR00001226350	EGAR00001226350_12820_7#6.cram
SAMEA2398345	EGAN00001224026	EGAR00001228034	EGAR00001228034_12880_6#6.cram
SAMEA2398297	EGAN00001224027	EGAR00001226351	EGAR00001226351_12820_7#7.cram
SAMEA2398297	EGAN00001224027	EGAR00001228035	EGAR00001228035_12880_6#7.cram
SAMEA2398841	EGAN00001224028	EGAR00001226352	EGAR00001226352_12820_7#8.cram
SAMEA2398841	EGAN00001224028	EGAR00001228036	EGAR00001228036_12880_6#8.cram
SAMEA2399080	EGAN00001234413	EGAR00001246029	EGAR00001246029_13306_2#1.cram
SAMEA2399080	EGAN00001234413	EGAR00001247315	EGAR00001247315_13365_4#1.cram
SAMEA2398834	EGAN00001234414	EGAR00001246030	EGAR00001246030_13306_2#2.cram
SAMEA2398834	EGAN00001234414	EGAR00001247316	EGAR00001247316_13365_4#2.cram
SAMEA2398858	EGAN00001234415	EGAR00001246031	EGAR00001246031_13306_2#3.cram
SAMEA2398858	EGAN00001234415	EGAR00001247317	EGAR00001247317_13365_4#3.cram
SAMEA2397877	EGAN00001234416	EGAR00001246032	EGAR00001246032_13306_2#4.cram
SAMEA2397877	EGAN00001234416	EGAR00001247318	EGAR00001247318_13365_4#4.cram
SAMEA2398586	EGAN00001234417	EGAR00001246033	EGAR00001246033_13306_2#5.cram
SAMEA2398586	EGAN00001234417	EGAR00001247319	EGAR00001247319_13365_4#5.cram
SAMEA2398043	EGAN00001234419	EGAR00001246035	EGAR00001246035_13306_2#7.cram
SAMEA2398043	EGAN00001234419	EGAR00001247321	EGAR00001247321_13365_4#7.cram
SAMEA2398884	EGAN00001234420	EGAR00001246036	EGAR00001246036_13306_2#8.cram
SAMEA2398884	EGAN00001234420	EGAR00001247322	EGAR00001247322_13365_4#8.cram
SAMEA2398634	EGAN00001246794	EGAR00001265304	EGAR00001265304_13667_1#1.cram
SAMEA2398634	EGAN00001246794	EGAR00001266678	EGAR00001266678_13750_3#1.cram
SAMEA2397988	EGAN00001252435	EGAR00001265305	EGAR00001265305_13667_1#2.cram
SAMEA2397988	EGAN00001252435	EGAR00001266679	EGAR00001266679_13750_3#2.cram
SAMEA2398868	EGAN00001252436	EGAR00001265306	EGAR00001265306_13667_1#3.cram
SAMEA2398868	EGAN00001252436	EGAR00001266680	EGAR00001266680_13750_3#3.cram
SAMEA2398219	EGAN00001252437	EGAR00001265307	EGAR00001265307_13667_1#4.cram
SAMEA2398219	EGAN00001252437	EGAR00001266681	EGAR00001266681_13750_3#4.cram
SAMEA2399264	EGAN00001252438	EGAR00001265308	EGAR00001265308_13667_1#5.cram
SAMEA2399264	EGAN00001252438	EGAR00001266682	EGAR00001266682_13750_3#5.cram
SAMEA2398442	EGAN00001252439	EGAR00001265309	EGAR00001265309_13667_1#6.cram
SAMEA2398442	EGAN00001252439	EGAR00001266683	EGAR00001266683_13750_3#6.cram
SAMEA2398851	EGAN00001252440	EGAR00001265310	EGAR00001265310_13667_1#7.cram
SAMEA2398851	EGAN00001252440	EGAR00001266684	EGAR00001266684_13750_3#7.cram
SAMEA2398046	EGAN00001252441	EGAR00001265311	EGAR00001265311_13667_1#8.cram
SAMEA2398046	EGAN00001252441	EGAR00001266685	EGAR00001266685_13750_3#8.cram
