sample_id(HipSci_cellline_id)	fastq1_file	fastq2_file
SAMEA103884170	ERR2039377/ERR2039377_1.fastq.gz	ERR2039377/ERR2039377_2.fastq.gz
SAMEA103884170	ERR2039380/ERR2039380_1.fastq.gz	ERR2039380/ERR2039380_2.fastq.gz
SAMEA103884673	ERR2039376/ERR2039376_1.fastq.gz	ERR2039376/ERR2039376_2.fastq.gz
SAMEA103884673	ERR2039379/ERR2039379_1.fastq.gz	ERR2039379/ERR2039379_2.fastq.gz
SAMEA103884675	ERR2039375/ERR2039375_1.fastq.gz	ERR2039375/ERR2039375_2.fastq.gz
SAMEA103884675	ERR2039378/ERR2039378_1.fastq.gz	ERR2039378/ERR2039378_2.fastq.gz
SAMEA103884677	ERR2278290/ERR2278290_1.fastq.gz	ERR2278290/ERR2278290_2.fastq.gz
SAMEA103884677	ERR2278298/ERR2278298_1.fastq.gz	ERR2278298/ERR2278298_2.fastq.gz
SAMEA103884850	ERR2278273/ERR2278273_1.fastq.gz	ERR2278273/ERR2278273_2.fastq.gz
SAMEA103884850	ERR2278283/ERR2278283_1.fastq.gz	ERR2278283/ERR2278283_2.fastq.gz
SAMEA103885510	ERR2278335/ERR2278335_1.fastq.gz	ERR2278335/ERR2278335_2.fastq.gz
SAMEA103885510	ERR2278341/ERR2278341_1.fastq.gz	ERR2278341/ERR2278341_2.fastq.gz
SAMEA103885511	ERR2278334/ERR2278334_1.fastq.gz	ERR2278334/ERR2278334_2.fastq.gz
SAMEA103885511	ERR2278340/ERR2278340_1.fastq.gz	ERR2278340/ERR2278340_2.fastq.gz
SAMEA103885513	ERR2278266/ERR2278266_1.fastq.gz	ERR2278266/ERR2278266_2.fastq.gz
SAMEA103885513	ERR2278276/ERR2278276_1.fastq.gz	ERR2278276/ERR2278276_2.fastq.gz
SAMEA103885514	ERR2278265/ERR2278265_1.fastq.gz	ERR2278265/ERR2278265_2.fastq.gz
SAMEA103885514	ERR2278275/ERR2278275_1.fastq.gz	ERR2278275/ERR2278275_2.fastq.gz
SAMEA103886060	ERR2278246/ERR2278246_1.fastq.gz	ERR2278246/ERR2278246_2.fastq.gz
SAMEA103886060	ERR2278256/ERR2278256_1.fastq.gz	ERR2278256/ERR2278256_2.fastq.gz
SAMEA103887419	ERR2278247/ERR2278247_1.fastq.gz	ERR2278247/ERR2278247_2.fastq.gz
SAMEA103887419	ERR2278257/ERR2278257_1.fastq.gz	ERR2278257/ERR2278257_2.fastq.gz
SAMEA103988283	ERR2278287/ERR2278287_1.fastq.gz	ERR2278287/ERR2278287_2.fastq.gz
SAMEA103988283	ERR2278295/ERR2278295_1.fastq.gz	ERR2278295/ERR2278295_2.fastq.gz
SAMEA103992842	ERR2278333/ERR2278333_1.fastq.gz	ERR2278333/ERR2278333_2.fastq.gz
SAMEA103992842	ERR2278339/ERR2278339_1.fastq.gz	ERR2278339/ERR2278339_2.fastq.gz
SAMEA103992843	ERR2278332/ERR2278332_1.fastq.gz	ERR2278332/ERR2278332_2.fastq.gz
SAMEA103992843	ERR2278338/ERR2278338_1.fastq.gz	ERR2278338/ERR2278338_2.fastq.gz
SAMEA103992846	ERR2278291/ERR2278291_1.fastq.gz	ERR2278291/ERR2278291_2.fastq.gz
SAMEA103992846	ERR2278299/ERR2278299_1.fastq.gz	ERR2278299/ERR2278299_2.fastq.gz
SAMEA103992851	ERR2278342/ERR2278342_1.fastq.gz	ERR2278342/ERR2278342_2.fastq.gz
SAMEA103992851	ERR2278345/ERR2278345_1.fastq.gz	ERR2278345/ERR2278345_2.fastq.gz
SAMEA103992896	ERR2278331/ERR2278331_1.fastq.gz	ERR2278331/ERR2278331_2.fastq.gz
SAMEA103992896	ERR2278337/ERR2278337_1.fastq.gz	ERR2278337/ERR2278337_2.fastq.gz
SAMEA104009786	ERR2278289/ERR2278289_1.fastq.gz	ERR2278289/ERR2278289_2.fastq.gz
SAMEA104009786	ERR2278297/ERR2278297_1.fastq.gz	ERR2278297/ERR2278297_2.fastq.gz
SAMEA104009787	ERR2278288/ERR2278288_1.fastq.gz	ERR2278288/ERR2278288_2.fastq.gz
SAMEA104009787	ERR2278296/ERR2278296_1.fastq.gz	ERR2278296/ERR2278296_2.fastq.gz
SAMEA104009794	ERR2278268/ERR2278268_1.fastq.gz	ERR2278268/ERR2278268_2.fastq.gz
SAMEA104009794	ERR2278278/ERR2278278_1.fastq.gz	ERR2278278/ERR2278278_2.fastq.gz
SAMEA104009795	ERR2278267/ERR2278267_1.fastq.gz	ERR2278267/ERR2278267_2.fastq.gz
SAMEA104009795	ERR2278277/ERR2278277_1.fastq.gz	ERR2278277/ERR2278277_2.fastq.gz
SAMEA104009796	ERR2278304/ERR2278304_1.fastq.gz	ERR2278304/ERR2278304_2.fastq.gz
SAMEA104009796	ERR2278314/ERR2278314_1.fastq.gz	ERR2278314/ERR2278314_2.fastq.gz
SAMEA104009798	ERR2278286/ERR2278286_1.fastq.gz	ERR2278286/ERR2278286_2.fastq.gz
SAMEA104009798	ERR2278294/ERR2278294_1.fastq.gz	ERR2278294/ERR2278294_2.fastq.gz
SAMEA104011279	ERR2278245/ERR2278245_1.fastq.gz	ERR2278245/ERR2278245_2.fastq.gz
SAMEA104011279	ERR2278255/ERR2278255_1.fastq.gz	ERR2278255/ERR2278255_2.fastq.gz
SAMEA104011280	ERR2278244/ERR2278244_1.fastq.gz	ERR2278244/ERR2278244_2.fastq.gz
SAMEA104011280	ERR2278254/ERR2278254_1.fastq.gz	ERR2278254/ERR2278254_2.fastq.gz
SAMEA104011281	ERR2278272/ERR2278272_1.fastq.gz	ERR2278272/ERR2278272_2.fastq.gz
SAMEA104011281	ERR2278282/ERR2278282_1.fastq.gz	ERR2278282/ERR2278282_2.fastq.gz
SAMEA104011282	ERR2278271/ERR2278271_1.fastq.gz	ERR2278271/ERR2278271_2.fastq.gz
SAMEA104011282	ERR2278281/ERR2278281_1.fastq.gz	ERR2278281/ERR2278281_2.fastq.gz
SAMEA104011285	ERR2278250/ERR2278250_1.fastq.gz	ERR2278250/ERR2278250_2.fastq.gz
SAMEA104011285	ERR2278260/ERR2278260_1.fastq.gz	ERR2278260/ERR2278260_2.fastq.gz
SAMEA104011286	ERR2278249/ERR2278249_1.fastq.gz	ERR2278249/ERR2278249_2.fastq.gz
