sample_id	mbv_genotype_id	het_consistent_frac	hom_consistent_frac	het_min_dist	hom_min_dist
AF101_L2	AF101	0.964910386525588	0.92665582151987	0.545196038981767	0.237425350686334
AF101_NI2	AF101	0.962759020431821	0.904375598850208	0.514440977618366	0.229845090262358
AF101_S2	AF101	0.961510083620266	0.933770210023097	0.543713151182694	0.241291278555455
AF105_L2	AF105	0.955994222436206	0.92956821539977	0.530530243190547	0.231975376401343
AF105_NI2	AF105	0.956364947710061	0.923801435960781	0.520650661995776	0.228154186158977
AF105_S2	AF105	0.954926624737946	0.927688002166652	0.525283097533443	0.231931716414357
AF107_L2	AF107	0.965411558669002	0.902529493586111	0.52487483550516	0.184483589185184
AF107_NI2	AF107	0.972982930124033	0.914877835951134	0.538141854329412	0.19033685968602
AF107_S2	AF107	0.978466188137514	0.905260781214721	0.53139830670546	0.192384018379437
AF109_L2	AF109	0.974257425742574	0.899993654419697	0.529676523071404	0.225294859238974
AF109_NI2	AF109	0.977780140335956	0.915011281688272	0.545949730349945	0.232140098817089
AF109_S2	AF109	0.980493998153278	0.915101608398343	0.546964654212312	0.232773045919427
AF11_L2	AF11	0.984518412031406	0.916680574098798	0.560908780665542	0.21364871166902
AF11_NI2	AF11	0.983220864490243	0.928896959339172	0.557254543924847	0.220054164579347
AF11_S2	AF11	0.982138819805562	0.907808972010395	0.557987876409335	0.212210272194881
AF111_L2	AF111	0.980269366046153	0.972064018455771	0.577872700537295	0.24704146749059
AF111_NI2	AF111	0.98297036187981	0.972304648862512	0.586012560113372	0.247699605698763
AF111_S2	AF111	0.982220426305687	0.971275661663252	0.585566978196586	0.244324400586224
AF113_L2	AF113	0.97858284496537	0.945959619187785	0.559382488578245	0.248717385443004
AF113_NI2	AF113	0.982805429864253	0.946886128724051	0.561824077640063	0.248868865242297
AF113_S2	AF113	0.979045815082278	0.941212029620674	0.557584112687894	0.243485566063378
AF115_L2	AF115	0.982721893491124	0.945709395084456	0.573486224701315	0.239093360776668
AF115_NI2	AF115	0.982047364400306	0.949483219138311	0.574067459077148	0.238430263473287
AF115_S2	AF115	0.98123554108474	0.931813428153106	0.559511668791665	0.232761048688355
AF117_NI2	AF117	0.978872326636423	0.939570421030135	0.554518083093987	0.234289786925593
AF117_S2	AF117	0.978267086073778	0.921880717160629	0.534609268964633	0.235943783489009
AF119_L2	AF119	0.950710900473934	0.927485706317111	0.523224829226255	0.236122628134548
AF119_NI2	AF119	0.950187546886722	0.92178882317762	0.518329422585715	0.234554363409007
AF119_S2	AF119	0.952361942781104	0.92575844304522	0.528172517246327	0.230349013764823
AF125_L2	AF125	0.983049215063084	0.962506778216748	0.588558129316456	0.240138615111474
AF125_NI2	AF125	0.981900094846665	0.966290000949577	0.595346808666898	0.241740066969995
AF125_S2	AF125	0.984303466317855	0.959407739590985	0.577671203320913	0.244153244010369
AF127_L2	AF127	0.9809200968523	0.95890787664506	0.590484898382668	0.242024446972613
AF127_NI2	AF127	0.981939078084284	0.961961334120425	0.590827966973173	0.245114256041342
AF127_S2	AF127	0.98022412656559	0.955798918063069	0.587461549336993	0.238376376527371
AF129_L2	AF129	0.984588323980233	0.960080393651674	0.582868111483395	0.245784770429089
AF129_NI2	AF129	0.983528612667686	0.961251758087201	0.58549202186001	0.246743501778135
AF129_S2	AF129	0.981585365853659	0.949062341611759	0.570377686517817	0.24288122525237
AF131_L2	AF131	0.9796907876681	0.967150287434985	0.574710689547208	0.251443665670486
AF131_NI2	AF131	0.979764626195919	0.969912274342058	0.57552580479504	0.252018376675729
AF131_S2	AF131	0.977560473494596	0.961440639476792	0.566163899054543	0.254799498130331
AF133_L2	AF133	0.977987759046494	0.954156672851518	0.566733286532128	0.244752284136785
AF133_NI2	AF133	0.974854269059321	0.956773575873624	0.56779300218497	0.242276605020215
AF133_S2	AF133	0.973890339425587	0.950340747001955	0.563216607404391	0.243333031115685
AF137_L2	AF137	0.979650935274321	0.967036011080332	0.575077358643418	0.257143484566659
AF137_NI2	AF137	0.982491582491583	0.968344674611827	0.574022583530724	0.263020094013724
AF137_S2	AF137	0.974013370713824	0.962107698982789	0.556141411974055	0.256270415067643
AF139_L2	AF139	0.958417534587284	0.962376300230801	0.567314080910411	0.237650046092782
AF139_NI2	AF139	0.955654467523904	0.963460028002595	0.568477322768485	0.239134970344204
AF139_S2	AF139	0.956717072101687	0.947573249832252	0.546665610369507	0.230148235433245
AF141_L2	AF141	0.982933248265412	0.967209317715571	0.583522301689285	0.246104872755513
AF141_NI2	AF141	0.982539682539682	0.965356474391696	0.589336609727391	0.244786419446641
AF141_S2	AF141	0.981196258149863	0.960692008944333	0.575221535821253	0.243845562243826
AF143_L2	AF143	0.967981186685962	0.962450592885375	0.561754351993598	0.257545592487888
AF143_NI2	AF143	0.966628402755002	0.964023225047773	0.561872696775656	0.259814677792006
AF143_S2	AF143	0.966022529535672	0.952398388868546	0.551790803109273	0.25250727570999
AF145_L2	AF145	0.967229667706995	0.946619888335597	0.556973257450584	0.233623086142815
AF145_NI2	AF145	0.968464971861052	0.947123972847446	0.56400138533012	0.234488536263634
AF145_S2	AF145	0.965016366612111	0.938488727962412	0.546389538894374	0.233330715390295
AF147_L2	AF147	0.984684934034505	0.965547998662058	0.595771329621301	0.241881118746354
AF147_NI2	AF147	0.977799867461895	0.969337488690057	0.592029578029916	0.241691932686292
AF147_S2	AF147	0.982920495405513	0.9616035455278	0.590730843625069	0.240938829129295
AF149_L2	AF149	0.958343543249204	0.966243419015175	0.555344318910671	0.239632925208736
