Label,Keep_genotyping,Self_reported_ethnic,African_admixture,European_admixture,Ethnic_bin,Keep_sequencing_NI,Keep_sequencing_L,Keep_sequencing_S
AF183,TRUE,AA,0.990514,0.009486,AA,TRUE,TRUE,TRUE
AF11,TRUE,AA,0.96425,0.03575,AA,TRUE,TRUE,TRUE
AF193,TRUE,AA,0.925358,0.074642,AA,TRUE,TRUE,TRUE
AF55,TRUE,AA,0.906362,0.093638,AA,FALSE,TRUE,TRUE
AF95,TRUE,AA,0.889371,0.110629,AA,TRUE,TRUE,TRUE
AF69,TRUE,AA,0.885108,0.114892,AA,TRUE,TRUE,TRUE
AF53,TRUE,AA,0.87972,0.12028,AA,TRUE,TRUE,TRUE
AF59,TRUE,AA,0.871641,0.128359,AA,TRUE,TRUE,TRUE
AF181,TRUE,AA,0.868837,0.131163,AA,TRUE,TRUE,TRUE
AF151,TRUE,AA,0.866167,0.133833,AA,TRUE,TRUE,TRUE
AF189,TRUE,AA,0.864667,0.135333,AA,TRUE,TRUE,TRUE
AF145,TRUE,AA,0.859526,0.140474,AA,TRUE,TRUE,TRUE
AF175,TRUE,AA,0.854548,0.145452,AA,TRUE,TRUE,TRUE
AF133,TRUE,AA,0.854443,0.145557,AA,TRUE,TRUE,TRUE
AF185,TRUE,AA,0.852458,0.147542,AA,TRUE,TRUE,TRUE
AF31,TRUE,AA,0.852284,0.147716,AA,TRUE,TRUE,TRUE
AF43,TRUE,AA,0.841591,0.158409,AA,TRUE,TRUE,TRUE
AF169,TRUE,AA,0.840663,0.159337,AA,TRUE,TRUE,TRUE
AF67,TRUE,AA,0.831366,0.168634,AA,TRUE,TRUE,TRUE
AF173,TRUE,AA,0.828452,0.171548,AA,TRUE,TRUE,TRUE
AF149,TRUE,AA,0.825751,0.174249,AA,TRUE,TRUE,TRUE
AF111,TRUE,AA,0.818034,0.181966,AA,TRUE,TRUE,TRUE
AF165,TRUE,AA,0.810168,0.189832,AA,TRUE,TRUE,TRUE
AF115,TRUE,AA,0.80333,0.19667,AA,TRUE,TRUE,TRUE
AF141,TRUE,AA,0.79831,0.20169,AA,TRUE,TRUE,TRUE
AF105,TRUE,AA,0.796217,0.203783,AA,TRUE,TRUE,TRUE
AF65,TRUE,AA,0.796079,0.203921,AA,TRUE,TRUE,TRUE
AF63,TRUE,AA,0.795462,0.204538,AA,TRUE,TRUE,TRUE
AF191,TRUE,AA,0.79514,0.20486,AA,TRUE,TRUE,TRUE
AF125,TRUE,AA,0.792307,0.207693,AA,TRUE,TRUE,TRUE
AF61,TRUE,AA,0.78866,0.21134,AA,TRUE,TRUE,TRUE
AF187,TRUE,AA,0.787002,0.212998,AA,TRUE,TRUE,TRUE
AF19,TRUE,AA,0.783826,0.216174,AA,TRUE,TRUE,TRUE
AF171,TRUE,AA,0.781266,0.218734,AA,TRUE,TRUE,TRUE
AF155,TRUE,AA,0.779987,0.220013,AA,TRUE,TRUE,TRUE
AF127,TRUE,AA,0.775397,0.224603,AA,TRUE,TRUE,TRUE
AF109,TRUE,AA,0.770756,0.229244,AA,TRUE,TRUE,TRUE
AF159,TRUE,AA,0.759088,0.240912,AA,TRUE,TRUE,TRUE
AF147,TRUE,AA,0.758783,0.241217,AA,TRUE,TRUE,TRUE
AF119,TRUE,AA,0.758461,0.241539,AA,TRUE,TRUE,TRUE
AF131,TRUE,AA,0.75748,0.24252,AA,TRUE,TRUE,TRUE
AF71,TRUE,AA,0.749386,0.250614,,TRUE,TRUE,TRUE
AF29,TRUE,AA,0.74666,0.25334,,TRUE,TRUE,TRUE
AF139,TRUE,AA,0.743062,0.256938,,TRUE,TRUE,TRUE
AF77,TRUE,AA,0.740356,0.259644,,TRUE,TRUE,TRUE
AF75,TRUE,AA,0.721869,0.278131,,TRUE,TRUE,TRUE
AF113,TRUE,AA,0.717018,0.282982,,TRUE,TRUE,TRUE
AF157,TRUE,AA,0.714425,0.285575,,TRUE,TRUE,TRUE
AF35,TRUE,AA,0.714324,0.285676,,TRUE,TRUE,TRUE
AF117,TRUE,AA,0.712329,0.287671,,TRUE,FALSE,TRUE
AF57,TRUE,AA,0.708263,0.291737,,TRUE,TRUE,TRUE
AF89,TRUE,AA,0.706299,0.293701,,FALSE,FALSE,TRUE
AF161,TRUE,AA,0.702467,0.297533,,TRUE,TRUE,TRUE
AF23,TRUE,AA,0.701112,0.298888,,TRUE,TRUE,TRUE
AF129,TRUE,AA,0.691217,0.308783,,TRUE,TRUE,TRUE
AF179,TRUE,AA,0.689971,0.310029,,TRUE,TRUE,TRUE
AF143,TRUE,AA,0.681347,0.318653,,TRUE,TRUE,TRUE
AF101,TRUE,AA,0.679333,0.320667,,TRUE,TRUE,TRUE
AF195,TRUE,AA,0.662897,0.337103,,TRUE,TRUE,TRUE
AF137,TRUE,AA,0.654411,0.345589,,TRUE,TRUE,TRUE
AF177,TRUE,AA,0.652179,0.347821,,TRUE,TRUE,TRUE
AF41,TRUE,AA,0.647582,0.352418,,TRUE,TRUE,TRUE
AF17,TRUE,AA,0.643899,0.356101,,TRUE,TRUE,TRUE
AF27,TRUE,AA,0.627346,0.372654,,TRUE,TRUE,TRUE
AF167,TRUE,AA,0.612576,0.387424,,TRUE,TRUE,TRUE
AF79,TRUE,AA,0.559903,0.440097,,TRUE,TRUE,TRUE
AF153,TRUE,AA,0.55838,0.44162,,TRUE,TRUE,TRUE
AF39,TRUE,AA,0.506293,0.493707,,TRUE,TRUE,TRUE
AF93,TRUE,AA,0.464724,0.535276,,TRUE,TRUE,TRUE
AF25,TRUE,AA,0.452036,0.547964,,TRUE,TRUE,TRUE
AF37,TRUE,AA,0.35025,0.64975,,TRUE,TRUE,TRUE
AF21,TRUE,AA,0.337424,0.662576,,TRUE,TRUE,TRUE
AF47,TRUE,AA,0.223309,0.776691,EA,TRUE,TRUE,TRUE
EU96,TRUE,EA,0.182632,0.817368,EA,TRUE,TRUE,TRUE
EU156,FALSE,EA,0.083263,0.916737,EA,TRUE,TRUE,TRUE
EU110,FALSE,EA,0.049408,0.950592,EA,TRUE,TRUE,TRUE
EU284,TRUE,EA,0.021487,0.978513,EA,TRUE,TRUE,TRUE
EU200,TRUE,EA,0.019008,0.980992,EA,TRUE,TRUE,TRUE
EU06,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU104,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU118,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU120,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU122,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU126,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU128,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU130,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU134,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU136,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU138,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU14,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU140,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU144,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU148,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU152,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU16,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU162,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU164,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU168,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU170,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU184,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU186,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU190,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU20,TRUE,EA,1.00E-05,0.99999,EA,TRUE,FALSE,TRUE
EU202,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU210,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU212,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU214,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
EU216,TRUE,EA,1.00E-05,0.99999,EA,TRUE,TRUE,TRUE
