sample_id	run_id	geo_sample_id	donor	condition	sequencing_center	flowcell	lane	condition_name	self_reported_ethnic	AF_admixture	EU_admixture	ethnic_bin
EU270_L2	SRR3472064	GSM2141679	EU270	Listeria	CHUSJ	run190	8	L	EA	1e-05	0.99999	EA
EU270_NI2	SRR3472065	GSM2141680	EU270	Non-infected	CHUSJ	run190	8	NI	EA	1e-05	0.99999	EA
EU270_S2	SRR3472066	GSM2141681	EU270	Salmonella	CHUSJ	run190	8	S	EA	1e-05	0.99999	EA
EU272_L2	SRR3472067	GSM2141682	EU272	Listeria	CHUSJ	run192	1	L	EA	1e-05	0.99999	EA
EU272_NI2	SRR3472068	GSM2141683	EU272	Non-infected	CHUSJ	run192	1	NI	EA	1e-05	0.99999	EA
EU272_S2	SRR3472069	GSM2141684	EU272	Salmonella	CHUSJ	run192	1	S	EA	1e-05	0.99999	EA
EU274_L2	SRR3472070	GSM2141685	EU274	Listeria	CHUSJ	run192	2	L	EA	1e-05	0.99999	EA
EU274_NI2	SRR3472071	GSM2141686	EU274	Non-infected	CHUSJ	run192	2	NI	EA	1e-05	0.99999	EA
EU274_S2	SRR3472072	GSM2141687	EU274	Salmonella	CHUSJ	run192	2	S	EA	1e-05	0.99999	EA
EU276_L2	SRR3472073	GSM2141688	EU276	Listeria	CHUSJ	run192	3	L	EA	1e-05	0.99999	EA
EU276_NI2	SRR3472074	GSM2141689	EU276	Non-infected	CHUSJ	run192	3	NI	EA	1e-05	0.99999	EA
EU276_S2	SRR3472075	GSM2141690	EU276	Salmonella	CHUSJ	run192	3	S	EA	1e-05	0.99999	EA
EU278_L2	SRR3472076	GSM2141691	EU278	Listeria	CHUSJ	run185	6	L	EA	1e-05	0.99999	EA
EU278_NI2	SRR3472077	GSM2141692	EU278	Non-infected	CHUSJ	run185	6	NI	EA	1e-05	0.99999	EA
EU278_S2	SRR3472078	GSM2141693	EU278	Salmonella	CHUSJ	run185	6	S	EA	1e-05	0.99999	EA
EU280_L2	SRR3472079	GSM2141694	EU280	Listeria	CHUSJ	run192	4	L	EA	1e-05	0.99999	EA
EU280_NI2	SRR3472080	GSM2141695	EU280	Non-infected	CHUSJ	run192	4	NI	EA	1e-05	0.99999	EA
EU280_S2	SRR3472081	GSM2141696	EU280	Salmonella	CHUSJ	run192	4	S	EA	1e-05	0.99999	EA
EU282_L2	SRR3472082	GSM2141697	EU282	Listeria	CHUSJ	run192	5	L	EA	1e-05	0.99999	EA
EU282_NI2	SRR3472083	GSM2141698	EU282	Non-infected	CHUSJ	run192	5	NI	EA	1e-05	0.99999	EA
EU282_S2	SRR3472084	GSM2141699	EU282	Salmonella	CHUSJ	run192	5	S	EA	1e-05	0.99999	EA
EU284_L2	SRR3472085	GSM2141700	EU284	Listeria	CHUSJ	run192	6	L	EA	0.021487	0.978513	EA
EU284_NI2	SRR3472086	GSM2141701	EU284	Non-infected	CHUSJ	run192	6	NI	EA	0.021487	0.978513	EA
EU284_S2	SRR3472087	GSM2141702	EU284	Salmonella	CHUSJ	run192	6	S	EA	0.021487	0.978513	EA
EU286_L2	SRR3472088	GSM2141703	EU286	Listeria	CHUSJ	run192	7	L	EA	1e-05	0.99999	EA
EU286_NI2	SRR3472089	GSM2141704	EU286	Non-infected	CHUSJ	run192	7	NI	EA	1e-05	0.99999	EA
EU286_S2	SRR3472090	GSM2141705	EU286	Salmonella	CHUSJ	run192	7	S	EA	1e-05	0.99999	EA
EU288_L2	SRR3472091	GSM2141706	EU288	Listeria	CHUSJ	run185	7	L	EA	1e-05	0.99999	EA
EU288_NI2	SRR3472092	GSM2141707	EU288	Non-infected	CHUSJ	run185	7	NI	EA	1e-05	0.99999	EA
EU288_S2	SRR3472093	GSM2141708	EU288	Salmonella	CHUSJ	run185	7	S	EA	1e-05	0.99999	EA
EU290_L2	SRR3472094	GSM2141709	EU290	Listeria	CHUSJ	run185	8	L	EA	1e-05	0.99999	EA
EU290_NI2	SRR3472095	GSM2141710	EU290	Non-infected	CHUSJ	run185	8	NI	EA	1e-05	0.99999	EA
EU290_S2	SRR3472096	GSM2141711	EU290	Salmonella	CHUSJ	run185	8	S	EA	1e-05	0.99999	EA
EU294_L2	SRR3472097	GSM2141712	EU294	Listeria	CHUSJ	run266	5	L	EA	1e-05	0.99999	EA
EU294_NI2	SRR3472098	GSM2141713	EU294	Non-infected	CHUSJ	run266	5	NI	EA	1e-05	0.99999	EA
