Sample_title,Sample_geo_accession
AF101_L2,GSM2141400
AF101_NI2,GSM2141401
AF101_S2,GSM2141402
AF105_L2,GSM2141403
AF105_NI2,GSM2141404
AF105_S2,GSM2141405
AF107_L2,GSM2141406
AF107_NI2,GSM2141407
AF107_S2,GSM2141408
AF109_L2,GSM2141409
AF109_NI2,GSM2141410
AF109_S2,GSM2141411
AF111_L2,GSM2141412
AF111_NI2,GSM2141413
AF111_S2,GSM2141414
AF113_L2,GSM2141415
AF113_NI2,GSM2141416
AF113_S2,GSM2141417
AF115_L2,GSM2141418
AF115_NI2,GSM2141419
AF115_S2,GSM2141420
AF117_NI2,GSM2141421
AF117_S2,GSM2141422
AF119_L2,GSM2141423
AF119_NI2,GSM2141424
AF119_S2,GSM2141425
AF125_L2,GSM2141426
AF125_NI2,GSM2141427
AF125_S2,GSM2141428
AF127_L2,GSM2141429
AF127_NI2,GSM2141430
AF127_S2,GSM2141431
AF129_L2,GSM2141432
AF129_NI2,GSM2141433
AF129_S2,GSM2141434
AF131_L2,GSM2141435
AF131_NI2,GSM2141436
AF131_S2,GSM2141437
AF133_L2,GSM2141438
AF133_NI2,GSM2141439
AF133_S2,GSM2141440
AF137_L2,GSM2141441
AF137_NI2,GSM2141442
AF137_S2,GSM2141443
AF139_L2,GSM2141444
AF139_NI2,GSM2141445
AF139_S2,GSM2141446
AF141_L2,GSM2141447
AF141_NI2,GSM2141448
AF141_S2,GSM2141449
AF143_L2,GSM2141450
AF143_NI2,GSM2141451
AF143_S2,GSM2141452
AF145_L2,GSM2141453
AF145_NI2,GSM2141454
AF145_S2,GSM2141455
AF147_L2,GSM2141456
AF147_NI2,GSM2141457
AF147_S2,GSM2141458
AF149_L2,GSM2141459
AF149_NI2,GSM2141460
AF149_S2,GSM2141461
AF151_L2,GSM2141462
AF151_NI2,GSM2141463
AF151_S2,GSM2141464
AF153_L2,GSM2141465
AF153_NI2,GSM2141466
AF153_S2,GSM2141467
AF155_L2,GSM2141468
AF155_NI2,GSM2141469
AF155_S2,GSM2141470
AF157_L2,GSM2141471
AF157_NI2,GSM2141472
AF157_S2,GSM2141473
AF159_L2,GSM2141474
AF159_NI2,GSM2141475
AF159_S2,GSM2141476
AF161_L2,GSM2141477
AF161_NI2,GSM2141478
AF161_S2,GSM2141479
AF163_L2,GSM2141480
AF163_NI2,GSM2141481
AF163_S2,GSM2141482
AF165_L2,GSM2141483
AF165_NI2,GSM2141484
AF165_S2,GSM2141485
AF167_L2,GSM2141486
AF167_NI2,GSM2141487
AF167_S2,GSM2141488
AF169_L2,GSM2141489
AF169_NI2,GSM2141490
AF169_S2,GSM2141491
AF171_L2,GSM2141492
AF171_NI2,GSM2141493
AF171_S2,GSM2141494
AF173_L2,GSM2141495
AF173_NI2,GSM2141496
AF173_S2,GSM2141497
AF175_L2,GSM2141498
AF175_NI2,GSM2141499
AF175_S2,GSM2141500
AF177_L2,GSM2141501
AF177_NI2,GSM2141502
AF177_S2,GSM2141503
AF179_L2,GSM2141504
AF179_NI2,GSM2141505
AF179_S2,GSM2141506
AF181_L2,GSM2141507
AF181_NI2,GSM2141508
AF181_S2,GSM2141509
AF183_L2,GSM2141510
AF183_NI2,GSM2141511
AF183_S2,GSM2141512
AF185_L2,GSM2141513
AF185_NI2,GSM2141514
AF185_S2,GSM2141515
AF187_L2,GSM2141516
AF187_NI2,GSM2141517
AF187_S2,GSM2141518
AF189_L2,GSM2141519
AF189_NI2,GSM2141520
AF189_S2,GSM2141521
AF191_L2,GSM2141522
AF191_NI2,GSM2141523
AF191_S2,GSM2141524
AF193_L2,GSM2141525
AF193_NI2,GSM2141526
AF193_S2,GSM2141527
AF195_L2,GSM2141528
AF195_NI2,GSM2141529
AF195_S2,GSM2141530
AF75_L2,GSM2141533
AF75_NI2,GSM2141534
AF75_S2,GSM2141535
AF89_S2,GSM2141536
AF91_S2,GSM2141537
AF93_L2,GSM2141538
AF93_NI2,GSM2141539
AF93_S2,GSM2141540
AF95_L2,GSM2141541
AF95_NI2,GSM2141542
AF95_S2,GSM2141543
AF97_L2,GSM2141544
AF97_NI2,GSM2141545
AF97_S2,GSM2141546
EU104_L2,GSM2141547
EU104_NI2,GSM2141548
EU104_S2,GSM2141549
EU110_L2,GSM2141550
EU110_NI2,GSM2141551
EU110_S2,GSM2141552
EU118_L2,GSM2141553
EU118_NI2,GSM2141554
EU118_S2,GSM2141555
EU120_L2,GSM2141556
EU120_NI2,GSM2141557
EU120_S2,GSM2141558
EU122_L2,GSM2141559
EU122_NI2,GSM2141560
EU122_S2,GSM2141561
EU126_L2,GSM2141562
EU126_NI2,GSM2141563
EU126_S2,GSM2141564
EU128_L2,GSM2141565
EU128_NI2,GSM2141566
EU128_S2,GSM2141567
EU130_L2,GSM2141568
EU130_NI2,GSM2141569
EU130_S2,GSM2141570
EU134_L2,GSM2141571
EU134_NI2,GSM2141572
EU134_S2,GSM2141573
EU136_L2,GSM2141574
EU136_NI2,GSM2141575
EU136_S2,GSM2141576
EU138_L2,GSM2141577
EU138_NI2,GSM2141578
EU138_S2,GSM2141579
EU140_L2,GSM2141580
EU140_NI2,GSM2141581
EU140_S2,GSM2141582
EU144_L2,GSM2141583
EU144_NI2,GSM2141584
EU144_S2,GSM2141585
EU148_L2,GSM2141586
EU148_NI2,GSM2141587
EU148_S2,GSM2141588
EU152_L2,GSM2141589
EU152_NI2,GSM2141590
EU152_S2,GSM2141591
EU156_L2,GSM2141592
EU156_NI2,GSM2141593
EU156_S2,GSM2141594
EU162_L2,GSM2141595
EU162_NI2,GSM2141596
EU162_S2,GSM2141597
EU164_L2,GSM2141598
EU164_NI2,GSM2141599
EU164_S2,GSM2141600
EU168_L2,GSM2141601
EU168_NI2,GSM2141602
EU168_S2,GSM2141603
EU170_L2,GSM2141604
EU170_NI2,GSM2141605
EU170_S2,GSM2141606
EU184_L2,GSM2141607
EU184_NI2,GSM2141608
EU184_S2,GSM2141609
EU186_L2,GSM2141610
EU186_NI2,GSM2141611
EU186_S2,GSM2141612
EU190_L2,GSM2141613
EU190_NI2,GSM2141614
EU190_S2,GSM2141615
EU200_L2,GSM2141616
EU200_NI2,GSM2141617
EU200_S2,GSM2141618
EU202_L2,GSM2141619
EU202_NI2,GSM2141620
EU202_S2,GSM2141621
EU210_L2,GSM2141622
EU210_NI2,GSM2141623
EU210_S2,GSM2141624
EU212_L2,GSM2141625
EU212_NI2,GSM2141626
EU212_S2,GSM2141627
EU214_L2,GSM2141628
EU214_NI2,GSM2141629
EU214_S2,GSM2141630
EU216_L2,GSM2141631
EU216_NI2,GSM2141632
EU216_S2,GSM2141633
EU224_L2,GSM2141634
EU224_NI2,GSM2141635
EU224_S2,GSM2141636
EU230_L2,GSM2141637
EU230_NI2,GSM2141638
EU230_S2,GSM2141639
EU232_L2,GSM2141640
EU232_NI2,GSM2141641
EU232_S2,GSM2141642
EU238_L2,GSM2141643
EU238_NI2,GSM2141644
EU238_S2,GSM2141645
EU240_L2,GSM2141646
EU240_S2,GSM2141647
EU242_L2,GSM2141648
EU242_NI2,GSM2141649
EU242_S2,GSM2141650
EU246_L2,GSM2141651
EU246_S2,GSM2141652
EU248_L2,GSM2141653
EU248_NI2,GSM2141654
EU248_S2,GSM2141655
EU252_NI2,GSM2141656
EU252_S2,GSM2141657
EU254_L2,GSM2141658
EU254_NI2,GSM2141659
EU254_S2,GSM2141660
EU258_L2,GSM2141661
EU258_NI2,GSM2141662
EU258_S2,GSM2141663
EU260_L2,GSM2141664
EU260_NI2,GSM2141665
EU260_S2,GSM2141666
EU262_L2,GSM2141667
EU262_NI2,GSM2141668
EU262_S2,GSM2141669
EU264_L2,GSM2141670
EU264_NI2,GSM2141671
EU264_S2,GSM2141672
EU266_L2,GSM2141673
EU266_NI2,GSM2141674
EU266_S2,GSM2141675
EU268_L2,GSM2141676
EU268_NI2,GSM2141677
EU268_S2,GSM2141678
EU270_L2,GSM2141679
EU270_NI2,GSM2141680
EU270_S2,GSM2141681
EU272_L2,GSM2141682
EU272_NI2,GSM2141683
EU272_S2,GSM2141684
EU274_L2,GSM2141685
EU274_NI2,GSM2141686
EU274_S2,GSM2141687
EU276_L2,GSM2141688
EU276_NI2,GSM2141689
EU276_S2,GSM2141690
EU278_L2,GSM2141691
EU278_NI2,GSM2141692
EU278_S2,GSM2141693
EU280_L2,GSM2141694
EU280_NI2,GSM2141695
EU280_S2,GSM2141696
EU282_L2,GSM2141697
EU282_NI2,GSM2141698
EU282_S2,GSM2141699
EU284_L2,GSM2141700
EU284_NI2,GSM2141701
EU284_S2,GSM2141702
EU286_L2,GSM2141703
EU286_NI2,GSM2141704
EU286_S2,GSM2141705
EU288_L2,GSM2141706
EU288_NI2,GSM2141707
EU288_S2,GSM2141708
EU290_L2,GSM2141709
EU290_NI2,GSM2141710
EU290_S2,GSM2141711
EU294_L2,GSM2141712
EU294_NI2,GSM2141713
EU294_S2,GSM2141714
EU296_L2,GSM2141715
EU296_NI2,GSM2141716
EU296_S2,GSM2141717
EU298_L2,GSM2141718
EU298_NI2,GSM2141719
EU298_S2,GSM2141720
EU300_L2,GSM2141721
EU300_NI2,GSM2141722
EU300_S2,GSM2141723
EU302_L2,GSM2141724
EU302_NI2,GSM2141725
EU302_S2,GSM2141726
EU306_L2,GSM2141727
EU306_NI2,GSM2141728
EU306_S2,GSM2141729
EU40_S2,GSM2141732
EU56_S2,GSM2141735
EU96_L2,GSM2141736
EU96_NI2,GSM2141737
EU96_S2,GSM2141738
AF11_L2,GSM2141236
AF11_NI2,GSM2141237
AF11_S2,GSM2141238
AF17_L2,GSM2141239
AF17_NI2,GSM2141240
AF17_S2,GSM2141241
AF19_L2,GSM2141242
AF19_NI2,GSM2141243
AF19_S2,GSM2141244
AF21_L2,GSM2141245
AF21_NI2,GSM2141246
AF21_S2,GSM2141247
AF23_L2,GSM2141248
AF23_NI2,GSM2141249
AF23_S2,GSM2141250
AF25_L2,GSM2141251
AF25_NI2,GSM2141252
AF25_S2,GSM2141253
AF27_L2,GSM2141254
AF27_NI2,GSM2141255
AF27_S2,GSM2141256
AF29_L2,GSM2141257
AF29_NI2,GSM2141258
AF29_S2,GSM2141259
AF31_L2,GSM2141260
AF31_NI2,GSM2141261
AF31_S2,GSM2141262
AF35_L2,GSM2141263
AF35_NI2,GSM2141264
AF35_S2,GSM2141265
AF37_L2,GSM2141266
AF37_NI2,GSM2141267
AF37_S2,GSM2141268
AF39_L2,GSM2141269
AF39_NI2,GSM2141270
AF39_S2,GSM2141271
AF41_L2,GSM2141272
AF41_NI2,GSM2141273
AF41_S2,GSM2141274
AF43_L2,GSM2141275
AF43_NI2,GSM2141276
AF43_S2,GSM2141277
AF47_L2,GSM2141278
AF47_NI2,GSM2141279
AF47_S2,GSM2141280
AF53_L2,GSM2141281
AF53_NI2,GSM2141282
AF53_S2,GSM2141283
AF57_L2,GSM2141284
AF57_NI2,GSM2141285
AF57_S2,GSM2141286
AF59_L2,GSM2141287
AF59_NI2,GSM2141288
AF59_S2,GSM2141289
AF61_L2,GSM2141290
AF61_NI2,GSM2141291
AF61_S2,GSM2141292
AF63_L2,GSM2141293
AF63_NI2,GSM2141294
AF63_S2,GSM2141295
AF65_L2,GSM2141296
AF65_NI2,GSM2141297
AF65_S2,GSM2141298
AF67_L2,GSM2141299
AF67_NI2,GSM2141300
AF67_S2,GSM2141301
AF69_L2,GSM2141302
AF69_NI2,GSM2141303
AF69_S2,GSM2141304
AF71_L2,GSM2141305
AF71_NI2,GSM2141306
AF71_S2,GSM2141307
AF77_L2,GSM2141308
AF77_NI2,GSM2141309
AF77_S2,GSM2141310
AF79_L2,GSM2141311
AF79_NI2,GSM2141312
AF79_S2,GSM2141313
EU06_L2,GSM2141314
EU06_NI2,GSM2141315
EU06_S2,GSM2141316
EU14_L2,GSM2141317
EU14_NI2,GSM2141318
EU14_S2,GSM2141319
EU16_L2,GSM2141320
EU16_NI2,GSM2141321
EU16_S2,GSM2141322
EU20_NI2,GSM2141323
EU20_S2,GSM2141324
EU22_L2,GSM2141325
EU22_NI2,GSM2141326
EU22_S2,GSM2141327
EU24_L2,GSM2141328
EU24_NI2,GSM2141329
EU24_S2,GSM2141330
EU26_L2,GSM2141331
EU26_NI2,GSM2141332
EU26_S2,GSM2141333
EU28_L2,GSM2141334
EU28_NI2,GSM2141335
EU28_S2,GSM2141336
EU30_L2,GSM2141337
EU30_NI2,GSM2141338
EU30_S2,GSM2141339
EU34_L2,GSM2141340
EU34_NI2,GSM2141341
EU34_S2,GSM2141342
EU36_L2,GSM2141343
EU36_NI2,GSM2141344
EU36_S2,GSM2141345
EU42_L2,GSM2141346
EU42_NI2,GSM2141347
EU42_S2,GSM2141348
EU46_L2,GSM2141349
EU46_NI2,GSM2141350
EU46_S2,GSM2141351
EU48_L2,GSM2141352
EU48_NI2,GSM2141353
EU48_S2,GSM2141354
EU50_L2,GSM2141355
EU50_NI2,GSM2141356
EU50_S2,GSM2141357
EU52_L2,GSM2141358
EU52_NI2,GSM2141359
EU52_S2,GSM2141360
EU54_L2,GSM2141361
EU54_NI2,GSM2141362
EU54_S2,GSM2141363
EU58_L2,GSM2141364
EU58_NI2,GSM2141365
EU58_S2,GSM2141366
EU60_L2,GSM2141367
EU60_NI2,GSM2141368
EU60_S2,GSM2141369
EU62_L2,GSM2141370
EU62_NI2,GSM2141371
EU62_S2,GSM2141372
EU64_L2,GSM2141373
EU64_NI2,GSM2141374
EU64_S2,GSM2141375
EU66_L2,GSM2141376
EU66_NI2,GSM2141377
EU66_S2,GSM2141378
EU68_L2,GSM2141379
EU68_NI2,GSM2141380
EU68_S2,GSM2141381
EU70_L2,GSM2141382
EU70_NI2,GSM2141383
EU70_S2,GSM2141384
EU72_L2,GSM2141385
EU72_NI2,GSM2141386
EU72_S2,GSM2141387
EU74_L2,GSM2141388
EU74_NI2,GSM2141389
EU74_S2,GSM2141390
EU76_L2,GSM2141391
EU76_NI2,GSM2141392
EU76_S2,GSM2141393
EU78_L2,GSM2141394
EU78_NI2,GSM2141395
EU78_S2,GSM2141396
EU80_L2,GSM2141397
EU80_NI2,GSM2141398
EU80_S2,GSM2141399
AF55_L2,GSM2141531
AF55_S2,GSM2141532
EU40_L2,GSM2141730
EU40_NI2,GSM2141731
EU56_L2,GSM2141733
EU56_NI2,GSM2141734
