ID,Label,Condition,Sequencing_center,Flowcell,Lane
AF101_L2_mRNA,AF101,Listeria,CHUSJ,run156,1
AF101_NI2_mRNA,AF101,Non-infected,CHUSJ,run156,1
AF101_S2_mRNA,AF101,Salmonella,CHUSJ,run156,1
AF105_L2_mRNA,AF105,Listeria,CHUSJ,run152,5
AF105_NI2_mRNA,AF105,Non-infected,CHUSJ,run152,5
AF105_S2_mRNA,AF105,Salmonella,CHUSJ,run152,5
AF107_L2_mRNA,AF107,Listeria,CHUSJ,run152,6
AF107_NI2_mRNA,AF107,Non-infected,CHUSJ,run152,6
AF107_S2_mRNA,AF107,Salmonella,CHUSJ,run152,6
AF109_L2_mRNA,AF109,Listeria,CHUSJ,run152,7
AF109_NI2_mRNA,AF109,Non-infected,CHUSJ,run152,7
AF109_S2_mRNA,AF109,Salmonella,CHUSJ,run152,7
AF11_L2_mRNA,AF11,Listeria,IC,run786,8
AF11_NI2_mRNA,AF11,Non-infected,IC,run786,8
AF11_S2_mRNA,AF11,Salmonella,IC,run786,8
AF111_L2_mRNA,AF111,Listeria,CHUSJ,run193,1
AF111_NI2_mRNA,AF111,Non-infected,CHUSJ,run193,1
AF111_S2_mRNA,AF111,Salmonella,CHUSJ,run193,1
AF113_L2_mRNA,AF113,Listeria,CHUSJ,run156,5
AF113_NI2_mRNA,AF113,Non-infected,CHUSJ,run156,5
AF113_S2_mRNA,AF113,Salmonella,CHUSJ,run156,5
AF115_L2_mRNA,AF115,Listeria,CHUSJ,run156,6
AF115_NI2_mRNA,AF115,Non-infected,CHUSJ,run156,6
AF115_S2_mRNA,AF115,Salmonella,CHUSJ,run156,6
AF117_NI2_mRNA,AF117,Non-infected,CHUSJ,run156,2
AF117_S2_mRNA,AF117,Salmonella,CHUSJ,run156,2
AF119_L2_mRNA,AF119,Listeria,CHUSJ,run156,4
AF119_NI2_mRNA,AF119,Non-infected,CHUSJ,run156,4
AF119_S2_mRNA,AF119,Salmonella,CHUSJ,run156,4
AF125_L2_mRNA,AF125,Listeria,CHUSJ,run190,1
AF125_NI2_mRNA,AF125,Non-infected,CHUSJ,run190,1
AF125_S2_mRNA,AF125,Salmonella,CHUSJ,run190,1
AF127_L2_mRNA,AF127,Listeria,CHUSJ,run190,2
AF127_NI2_mRNA,AF127,Non-infected,CHUSJ,run190,2
AF127_S2_mRNA,AF127,Salmonella,CHUSJ,run190,2
AF129_L2_mRNA,AF129,Listeria,CHUSJ,run190,3
AF129_NI2_mRNA,AF129,Non-infected,CHUSJ,run190,3
AF129_S2_mRNA,AF129,Salmonella,CHUSJ,run190,3
AF131_L2_mRNA,AF131,Listeria,CHUSJ,run190,4
AF131_NI2_mRNA,AF131,Non-infected,CHUSJ,run190,4
AF131_S2_mRNA,AF131,Salmonella,CHUSJ,run190,4
AF133_L2_mRNA,AF133,Listeria,CHUSJ,run190,7
AF133_NI2_mRNA,AF133,Non-infected,CHUSJ,run190,7
AF133_S2_mRNA,AF133,Salmonella,CHUSJ,run190,7
AF137_L2_mRNA,AF137,Listeria,CHUSJ,run192,4
AF137_NI2_mRNA,AF137,Non-infected,CHUSJ,run192,4
AF137_S2_mRNA,AF137,Salmonella,CHUSJ,run192,4
AF139_L2_mRNA,AF139,Listeria,CHUSJ,run192,5
AF139_NI2_mRNA,AF139,Non-infected,CHUSJ,run192,5
AF139_S2_mRNA,AF139,Salmonella,CHUSJ,run192,5
AF141_L2_mRNA,AF141,Listeria,CHUSJ,run192,6
AF141_NI2_mRNA,AF141,Non-infected,CHUSJ,run192,6
AF141_S2_mRNA,AF141,Salmonella,CHUSJ,run192,6
AF143_L2_mRNA,AF143,Listeria,CHUSJ,run192,7
AF143_NI2_mRNA,AF143,Non-infected,CHUSJ,run192,7
AF143_S2_mRNA,AF143,Salmonella,CHUSJ,run192,7
AF145_L2_mRNA,AF145,Listeria,CHUSJ,run193,2
AF145_NI2_mRNA,AF145,Non-infected,CHUSJ,run193,2
AF145_S2_mRNA,AF145,Salmonella,CHUSJ,run193,2
AF147_L2_mRNA,AF147,Listeria,CHUSJ,run193,3
AF147_NI2_mRNA,AF147,Non-infected,CHUSJ,run193,3
AF147_S2_mRNA,AF147,Salmonella,CHUSJ,run193,3
