sample_id	donor	condition_number	condition_name	ega_id	fq1
ACCOORCPIE_1	ACCOORCPIE	1	naive	EGAR00001481672	_EGAR00001481672_EIP@ACCOORCPIE-1_aligned.fq.gz
ACCOORCPIE_2	ACCOORCPIE	2	LPS	EGAR00001481673	_EGAR00001481673_EIP@ACCOORCPIE-2_aligned.fq.gz
ACCOORCPIE_3	ACCOORCPIE	3	Pam3CSK4	EGAR00001481674	_EGAR00001481674_EIP@ACCOORCPIE-3_aligned.fq.gz
ACCOORCPIE_4	ACCOORCPIE	4	R848	EGAR00001481675	_EGAR00001481675_EIP@ACCOORCPIE-4_aligned.fq.gz
ACCOORCPIE_5	ACCOORCPIE	5	IAV	EGAR00001481676	_EGAR00001481676_EIP@ACCOORCPIE-5_aligned.fq.gz
AOCJWLFCBJ_1	AOCJWLFCBJ	1	naive	EGAR00001481677	_EGAR00001481677_EIP@AOCJWLFCBJ-1_aligned.fq.gz
AOCJWLFCBJ_2	AOCJWLFCBJ	2	LPS	EGAR00001481678	_EGAR00001481678_EIP@AOCJWLFCBJ-2_aligned.fq.gz
AOCJWLFCBJ_3	AOCJWLFCBJ	3	Pam3CSK4	EGAR00001481679	_EGAR00001481679_EIP@AOCJWLFCBJ-3_aligned.fq.gz
AOCJWLFCBJ_4	AOCJWLFCBJ	4	R848	EGAR00001481680	_EGAR00001481680_EIP@AOCJWLFCBJ-4_aligned.fq.gz
AOCJWLFCBJ_5	AOCJWLFCBJ	5	IAV	EGAR00001481681	_EGAR00001481681_EIP@AOCJWLFCBJ-5_aligned.fq.gz
AQZPGHGTQT_1	AQZPGHGTQT	1	naive	EGAR00001481682	_EGAR00001481682_EIP@AQZPGHGTQT-1_aligned.fq.gz
AQZPGHGTQT_2	AQZPGHGTQT	2	LPS	EGAR00001481683	_EGAR00001481683_EIP@AQZPGHGTQT-2_aligned.fq.gz
AQZPGHGTQT_3	AQZPGHGTQT	3	Pam3CSK4	EGAR00001481684	_EGAR00001481684_EIP@AQZPGHGTQT-3_aligned.fq.gz
AQZPGHGTQT_4	AQZPGHGTQT	4	R848	EGAR00001481685	_EGAR00001481685_EIP@AQZPGHGTQT-4_aligned.fq.gz
AQZPGHGTQT_5	AQZPGHGTQT	5	IAV	EGAR00001481686	_EGAR00001481686_EIP@AQZPGHGTQT-5_aligned.fq.gz
ASEBSZGQTQ_1	ASEBSZGQTQ	1	naive	EGAR00001481687	_EGAR00001481687_EIP@ASEBSZGQTQ-1_aligned.fq.gz
ASEBSZGQTQ_2	ASEBSZGQTQ	2	LPS	EGAR00001481688	_EGAR00001481688_EIP@ASEBSZGQTQ-2_aligned.fq.gz
ASEBSZGQTQ_3	ASEBSZGQTQ	3	Pam3CSK4	EGAR00001481689	_EGAR00001481689_EIP@ASEBSZGQTQ-3_aligned.fq.gz
ASEBSZGQTQ_4	ASEBSZGQTQ	4	R848	EGAR00001481690	_EGAR00001481690_EIP@ASEBSZGQTQ-4_aligned.fq.gz
ASEBSZGQTQ_5	ASEBSZGQTQ	5	IAV	EGAR00001481691	_EGAR00001481691_EIP@ASEBSZGQTQ-5_aligned.fq.gz
AXEOEKWRIW_1	AXEOEKWRIW	1	naive	EGAR00001481692	_EGAR00001481692_EIP@AXEOEKWRIW-1_aligned.fq.gz
AXEOEKWRIW_2	AXEOEKWRIW	2	LPS	EGAR00001481693	_EGAR00001481693_EIP@AXEOEKWRIW-2_aligned.fq.gz
AXEOEKWRIW_3	AXEOEKWRIW	3	Pam3CSK4	EGAR00001481694	_EGAR00001481694_EIP@AXEOEKWRIW-3_aligned.fq.gz
AXEOEKWRIW_4	AXEOEKWRIW	4	R848	EGAR00001481695	_EGAR00001481695_EIP@AXEOEKWRIW-4_aligned.fq.gz
AXEOEKWRIW_5	AXEOEKWRIW	5	IAV	EGAR00001481696	_EGAR00001481696_EIP@AXEOEKWRIW-5_aligned.fq.gz
BBXHACQMGG_1	BBXHACQMGG	1	naive	EGAR00001481697	_EGAR00001481697_EIP@BBXHACQMGG-1_aligned.fq.gz
BBXHACQMGG_2	BBXHACQMGG	2	LPS	EGAR00001481698	_EGAR00001481698_EIP@BBXHACQMGG-2_aligned.fq.gz
BBXHACQMGG_3	BBXHACQMGG	3	Pam3CSK4	EGAR00001481699	_EGAR00001481699_EIP@BBXHACQMGG-3_aligned.fq.gz
BBXHACQMGG_4	BBXHACQMGG	4	R848	EGAR00001481700	_EGAR00001481700_EIP@BBXHACQMGG-4_aligned.fq.gz
BBXHACQMGG_5	BBXHACQMGG	5	IAV	EGAR00001481701	_EGAR00001481701_EIP@BBXHACQMGG-5_aligned.fq.gz
BDOHDOVYOO_1	BDOHDOVYOO	1	naive	EGAR00001481702	_EGAR00001481702_EIP@BDOHDOVYOO-1_aligned.fq.gz
BDOHDOVYOO_3	BDOHDOVYOO	3	Pam3CSK4	EGAR00001481703	_EGAR00001481703_EIP@BDOHDOVYOO-3_aligned.fq.gz
BDOHDOVYOO_4	BDOHDOVYOO	4	R848	EGAR00001481704	_EGAR00001481704_EIP@BDOHDOVYOO-4_aligned.fq.gz
BDOHDOVYOO_5	BDOHDOVYOO	5	IAV	EGAR00001481705	_EGAR00001481705_EIP@BDOHDOVYOO-5_aligned.fq.gz
BQESTUPRFG_1	BQESTUPRFG	1	naive	EGAR00001481706	_EGAR00001481706_EIP@BQESTUPRFG-1_aligned.fq.gz
BQESTUPRFG_2	BQESTUPRFG	2	LPS	EGAR00001481707	_EGAR00001481707_EIP@BQESTUPRFG-2_aligned.fq.gz
BQESTUPRFG_3	BQESTUPRFG	3	Pam3CSK4	EGAR00001481708	_EGAR00001481708_EIP@BQESTUPRFG-3_aligned.fq.gz
BQESTUPRFG_4	BQESTUPRFG	4	R848	EGAR00001481709	_EGAR00001481709_EIP@BQESTUPRFG-4_aligned.fq.gz
BQESTUPRFG_5	BQESTUPRFG	5	IAV	EGAR00001481710	_EGAR00001481710_EIP@BQESTUPRFG-5_aligned.fq.gz
BTICJJCPYJ_1	BTICJJCPYJ	1	naive	EGAR00001481711	_EGAR00001481711_EIP@BTICJJCPYJ-1_aligned.fq.gz
BTICJJCPYJ_2	BTICJJCPYJ	2	LPS	EGAR00001481712	_EGAR00001481712_EIP@BTICJJCPYJ-2_aligned.fq.gz
BTICJJCPYJ_3	BTICJJCPYJ	3	Pam3CSK4	EGAR00001481713	_EGAR00001481713_EIP@BTICJJCPYJ-3_aligned.fq.gz
BTICJJCPYJ_4	BTICJJCPYJ	4	R848	EGAR00001481714	_EGAR00001481714_EIP@BTICJJCPYJ-4_aligned.fq.gz
BTICJJCPYJ_5	BTICJJCPYJ	5	IAV	EGAR00001481715	_EGAR00001481715_EIP@BTICJJCPYJ-5_aligned.fq.gz
