!Sample_title	!Sample_geo_accession	!Sample_status	!Sample_submission_date	!Sample_last_update_date	!Sample_type	!Sample_channel_count	!Sample_source_name_ch1	!Sample_organism_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_molecule_ch1	!Sample_extract_protocol_ch1	!Sample_label_ch1	!Sample_label_protocol_ch1	!Sample_taxid_ch1	!Sample_hyb_protocol	!Sample_scan_protocol	!Sample_data_processing	!Sample_platform_id	!Sample_contact_name	!Sample_contact_laboratory	!Sample_contact_department	!Sample_contact_institute	!Sample_contact_address	!Sample_contact_city	!Sample_contact_state	!Sample_contact_zip/postal_code	!Sample_contact_country	!Sample_supplementary_file	!Sample_data_row_count	!Sample_relation
IGTB10.4 [CD4]	GSM1350856	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 30	gender: female	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350856/suppl/GSM1350856_EA10047_113571_HUGENE-1_0-ST-V1_IGTB10.4.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB10.4BR1 [CD4]	GSM1350857	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 30	gender: female	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350857/suppl/GSM1350857_EA10047_113667_HUGENE-1_0-ST-V1_IGTB10.4BR1.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB100.4 [CD4]	GSM1350858	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 47	gender: male	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350858/suppl/GSM1350858_EA10047_113541_HUGENE-1_0-ST-V1_IGTB100.4.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB1004.4 [CD4]	GSM1350859	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 46	gender: female	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 4	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350859/suppl/GSM1350859_EA10047_221178_HUGENE-1_0-ST-V1_IGTB1004.4.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB1007.4 [CD4]	GSM1350860	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 42	gender: male	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350860/suppl/GSM1350860_EA10047_113505_HUGENE-1_0-ST-V1_IGTB1007.4.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB1009.F4 [CD4]	GSM1350861	Public on May 02 2014	Mar 19 2014	May 20 2014	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 27	gender: female	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 6	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350861/suppl/GSM1350861_EA10047_239752_HUGENE-1_0-ST-V1_IGTB1009.F4.CEL.gz	21727	
IGTB1016.4 [CD4]	GSM1350862	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 20	gender: female	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350862/suppl/GSM1350862_EA10047_113540_HUGENE-1_0-ST-V1_IGTB1016.4.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB1018.4 [CD4]	GSM1350863	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 49	gender: female	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350863/suppl/GSM1350863_EA10047_113623_HUGENE-1_0-ST-V1_IGTB1018.4.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB1020.4 [CD4]	GSM1350864	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 23	gender: female	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 1	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350864/suppl/GSM1350864_EA10047_113619_HUGENE-1_0-ST-V1_IGTB1020.4.CEL.gz	21727	Reanalyzed by: GSE86357
IGTB1021.4 [CD4]	GSM1350865	Public on May 02 2014	Mar 19 2014	Sep 01 2016	RNA	1	healthy individual_CD4 T-Cells from PBMCs	Homo sapiens	age (yrs): 36	gender: male	cell type: T4 Naive cells from human peripheral blood mononuclear cells (PBMCs)	batch: 4	inclusion markers: CD3+ CD4+ CD62L+	exclusion markers: CD14- CD8- CD25-	phenotype markers: CD3+ CD14- CD4+ CD8- CD62L+ CD25-	separation method: Aria Sorter	total RNA	TriZol	biotin	Affymetrix GeneChip WT Terminal Labeling and Controls Kit	9606	Ambion WT Expression Kit	Affymetrix GeneChip Scanner	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	GPL6244	"Liang,,Yang"	CBDM	Pathology	Harvard Medical School	77 Avenue Louis Pasteur	Boston	MA	2115	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1350nnn/GSM1350865/suppl/GSM1350865_EA10047_221101_HUGENE-1_0-ST-V1_IGTB1021.4.CEL.gz	21727	Reanalyzed by: GSE86357
