EGA_RUN_ID	Biosample_id	Sample_name	EGAN-RNA-seq	EGAN-ATAC
EGAR00001412738	SAMEA3598190	wuye_2_N_ATAC-sc-2424517	#N/A	EGAN00001327759
EGAR00001412739	SAMEA3598191	feec_1_N_ATAC-sc-2424518	#N/A	EGAN00001327760
EGAR00001412740	SAMEA3598192	kucg_1_N_ATAC-sc-2424519	#N/A	EGAN00001327761
EGAR00001412741	SAMEA3598193	hoik_1_N_ATAC-sc-2424520	#N/A	EGAN00001327762
EGAR00001412742	SAMEA3598194	qonc_2_N_ATAC-sc-2424521	#N/A	EGAN00001327763
EGAR00001412743	SAMEA3598195	hayt_1_N_ATAC-sc-2424522	#N/A	EGAN00001327764
EGAR00001412744	SAMEA3598177	rozh_5_N_ATAC-sc-2424504	#N/A	EGAN00001327746
EGAR00001412745	SAMEA3598176	fiau_1_N_ATAC-sc-2424503	#N/A	EGAN00001327745
EGAR00001412746	SAMEA3598178	xugn_1_N_ATAC-sc-2424505	#N/A	EGAN00001327747
EGAR00001412747	SAMEA3598179	kuxp_1_N_ATAC-sc-2424506	#N/A	EGAN00001327748
EGAR00001412748	SAMEA3598196	lise_1_N_ATAC-sc-2424523	#N/A	EGAN00001327765
EGAR00001412749	SAMEA3598180	nemb_1_N_ATAC-sc-2424507	#N/A	EGAN00001327749
EGAR00001412750	SAMEA3598181	vabj_3_N_ATAC-sc-2424508	#N/A	EGAN00001327750
EGAR00001412751	SAMEA3598182	eipl_1_N_ATAC-sc-2424509	#N/A	EGAN00001327751
EGAR00001412752	SAMEA3598183	febc_2_N_ATAC-sc-2424510	#N/A	EGAN00001327752
EGAR00001412753	SAMEA3598188	pelm_3_C_N_ATAC-sc-2424515	#N/A	EGAN00001327757
EGAR00001412754	SAMEA3598184	kehc_2_N_ATAC-sc-2424511	#N/A	EGAN00001327753
EGAR00001412755	SAMEA3598185	pamv_3_N_ATAC-sc-2424512	#N/A	EGAN00001327754
EGAR00001412756	SAMEA3598189	eiwy_1_N_ATAC-sc-2424516	#N/A	EGAN00001327758
EGAR00001412757	SAMEA3598187	podx_1_C_N_ATAC-sc-2424514	#N/A	EGAN00001327756
EGAR00001412758	SAMEA3598186	qony_1_N_ATAC-sc-2424513	#N/A	EGAN00001327755
EGAR00001412759	SAMEA3598190	wuye_2_N_ATAC-sc-2424517	#N/A	EGAN00001327759
EGAR00001412760	SAMEA3598191	feec_1_N_ATAC-sc-2424518	#N/A	EGAN00001327760
EGAR00001412761	SAMEA3598192	kucg_1_N_ATAC-sc-2424519	#N/A	EGAN00001327761
EGAR00001412762	SAMEA3598193	hoik_1_N_ATAC-sc-2424520	#N/A	EGAN00001327762
EGAR00001412763	SAMEA3598194	qonc_2_N_ATAC-sc-2424521	#N/A	EGAN00001327763
EGAR00001412764	SAMEA3598195	hayt_1_N_ATAC-sc-2424522	#N/A	EGAN00001327764
EGAR00001412765	SAMEA3598177	rozh_5_N_ATAC-sc-2424504	#N/A	EGAN00001327746
EGAR00001412766	SAMEA3598176	fiau_1_N_ATAC-sc-2424503	#N/A	EGAN00001327745
EGAR00001412767	SAMEA3598178	xugn_1_N_ATAC-sc-2424505	#N/A	EGAN00001327747
