sample_id	EGAN	EGAR	file_name
SAMEA3234532	EGAN00001264471	EGAR00001331658	EGAR00001331658_15709_2#1.cram
SAMEA3234532	EGAN00001264471	EGAR00001331675	EGAR00001331675_15709_3#1.cram
SAMEA3234532	EGAN00001264471	EGAR00001331692	EGAR00001331692_15709_4#1.cram
SAMEA3234532	EGAN00001264471	EGAR00001331641	EGAR00001331641_15709_1#1.cram
SAMEA3234534	EGAN00001264472	EGAR00001331659	EGAR00001331659_15709_2#2.cram
SAMEA3234534	EGAN00001264472	EGAR00001331676	EGAR00001331676_15709_3#2.cram
SAMEA3234534	EGAN00001264472	EGAR00001331693	EGAR00001331693_15709_4#2.cram
SAMEA3234534	EGAN00001264472	EGAR00001331642	EGAR00001331642_15709_1#2.cram
SAMEA3234536	EGAN00001264473	EGAR00001331660	EGAR00001331660_15709_2#3.cram
SAMEA3234536	EGAN00001264473	EGAR00001331677	EGAR00001331677_15709_3#3.cram
SAMEA3234536	EGAN00001264473	EGAR00001331694	EGAR00001331694_15709_4#3.cram
SAMEA3234536	EGAN00001264473	EGAR00001331643	EGAR00001331643_15709_1#3.cram
SAMEA3234538	EGAN00001264474	EGAR00001331661	EGAR00001331661_15709_2#4.cram
SAMEA3234538	EGAN00001264474	EGAR00001331678	EGAR00001331678_15709_3#4.cram
SAMEA3234538	EGAN00001264474	EGAR00001331695	EGAR00001331695_15709_4#4.cram
SAMEA3234538	EGAN00001264474	EGAR00001331644	EGAR00001331644_15709_1#4.cram
SAMEA3234540	EGAN00001264475	EGAR00001331662	EGAR00001331662_15709_2#5.cram
SAMEA3234540	EGAN00001264475	EGAR00001331679	EGAR00001331679_15709_3#5.cram
SAMEA3234540	EGAN00001264475	EGAR00001331696	EGAR00001331696_15709_4#5.cram
SAMEA3234540	EGAN00001264475	EGAR00001331645	EGAR00001331645_15709_1#5.cram
SAMEA3234542	EGAN00001264476	EGAR00001331663	EGAR00001331663_15709_2#6.cram
SAMEA3234542	EGAN00001264476	EGAR00001331680	EGAR00001331680_15709_3#6.cram
SAMEA3234542	EGAN00001264476	EGAR00001331697	EGAR00001331697_15709_4#6.cram
SAMEA3234542	EGAN00001264476	EGAR00001331646	EGAR00001331646_15709_1#6.cram
SAMEA3234544	EGAN00001264477	EGAR00001331647	EGAR00001331647_15709_1#7.cram
SAMEA3234544	EGAN00001264477	EGAR00001331664	EGAR00001331664_15709_2#7.cram
SAMEA3234544	EGAN00001264477	EGAR00001331681	EGAR00001331681_15709_3#7.cram
