biosample_id	sample_id	sample_name	sex	donor_id
SAMN10104430	SRR7463327	0176V081611_baseline	male	IGTB176
SAMN10104239	SRR7463328	0178V031011_baseline	female	IGTB178
SAMN10104155	SRR7463329	0277V102511_baseline	male	IGTB277
SAMN10104246	SRR7463330	0373V021711_baseline	male	IGTB373
SAMN10103969	SRR7463331	0412V021511_baseline	male	IGTB412
SAMN10104480	SRR7463332	0469V072811_baseline	female	IGTB469
SAMN10104319	SRR7463333	0481V110811_baseline	male	IGTB481
SAMN10103967	SRR7463334	0506V080911_baseline	female	IGTB506
SAMN10104436	SRR7463335	0536V081011_baseline	male	IGTB536
SAMN10103975	SRR7463336	0559V072011_baseline	female	IGTB559
SAMN10104374	SRR7463337	0575V081111_baseline	female	IGTB575
SAMN10104326	SRR7463338	0612V021611_baseline	female	IGTB612
SAMN10104046	SRR7463339	0661V031711_baseline	female	IGTB661
SAMN10104330	SRR7463340	0678V081811_baseline	male	IGTB678
SAMN10104297	SRR7463341	0760V110211_baseline	female	IGTB1112
SAMN10104045	SRR7463342	0876V030211_baseline	female	IGTB876
SAMN10104281	SRR7463343	0880V110811_baseline	male	IGTB880
SAMN10104279	SRR7463344	0899V030811_baseline	male	IGTB899
SAMN10104058	SRR7463346	0930V062911_baseline	male	IGTB930
SAMN10104461	SRR7463347	0940V030211_baseline	male	IGTB940
SAMN10103944	SRR7463348	0945V051911_baseline	male	IGTB945
SAMN10104123	SRR7463349	1037V090711_baseline	male	IGTB1037
SAMN10104051	SRR7463350	1046V082411_baseline	female	IGTB1046
SAMN10104473	SRR7463351	1057V100411_baseline	female	IGTB1057
SAMN10104112	SRR7463352	1088V060911_baseline	male	IGTB1088
SAMN10104174	SRR7463353	1114V042011_baseline	male	IGTB1114
SAMN10104192	SRR7463354	1131V102711_baseline	male	IGTB1131
SAMN10104156	SRR7463355	1133V021511_baseline	female	IGTB1133
SAMN10104352	SRR7463356	1136V081011_baseline	female	IGTB1136
SAMN10104432	SRR7463357	1148V090811_baseline	female	IGTB1148
SAMN10104107	SRR7463358	1156V061511_baseline	female	IGTB1156
SAMN10104286	SRR7463359	1166V041211_baseline	female	IGTB1166
SAMN10104019	SRR7463360	1170V042011_baseline	male	IGTB1170
SAMN10104478	SRR7463361	1193V042111_baseline	male	IGTB1193
SAMN10104215	SRR7463362	1200V041311_baseline	male	IGTB1200
SAMN10104078	SRR7463363	1222V062311_baseline	female	IGTB1222
SAMN10104233	SRR7463364	1223V051911_baseline	male	IGTB1223
SAMN10104274	SRR7463365	1237V021512_baseline	female	IGTB1237
SAMN10104292	SRR7463366	1242V110311_baseline	female	IGTB1242
SAMN10104124	SRR7463367	1245V082311_baseline	male	IGTB1245
SAMN10104030	SRR7463368	1265V022212_baseline	male	IGTB1265
SAMN10104483	SRR7463369	1266V111511_baseline	female	IGTB1266
SAMN10104254	SRR7463370	1272V110111_baseline	female	IGTB1688
SAMN10104320	SRR7463371	1275V060811_baseline	female	IGTB1275
SAMN10104424	SRR7463372	1282V110811_baseline	female	IGTB1282
SAMN10104255	SRR7463373	1305V053111_baseline	male	IGTB1305
SAMN10104396	SRR7463374	1314V110911_baseline	male	IGTB1314
SAMN10104105	SRR7463375	1324V060111_baseline	male	IGTB1324
SAMN10103950	SRR7463376	1331V012412_baseline	female	IGTB1331
SAMN10104366	SRR7463377	1335V060111_baseline	male	IGTB1335
SAMN10104014	SRR7463378	1344V062811_baseline	male	IGTB1344
SAMN10104354	SRR7463379	1355V060711_baseline	male	IGTB1355
SAMN10103959	SRR7463380	1359V020712_baseline	male	IGTB1359
SAMN10104118	SRR7463381	1360V102011_baseline	female	IGTB1360
SAMN10104309	SRR7463382	1361V062311_baseline	male	IGTB1361
SAMN10104092	SRR7463383	1369V071211_baseline	female	IGTB1369
SAMN10104106	SRR7463384	1372V062911_baseline	female	IGTB1372
SAMN10104021	SRR7463385	1385V072011_baseline	male	IGTB1385
SAMN10104372	SRR7463386	1393V060711_baseline	female	IGTB1393
SAMN10104444	SRR7463387	1394V082511_baseline	male	IGTB1394
SAMN10104362	SRR7463388	1399V111011_baseline	female	IGTB1399
SAMN10104009	SRR7463389	1411V110311_baseline	female	IGTB1411
SAMN10104463	SRR7463390	1415V091311_baseline	female	IGTB1415
SAMN10104389	SRR7463391	1417V092911_baseline	male	IGTB1417
SAMN10104056	SRR7463392	1418V080911_baseline	female	IGTB1418
SAMN10104392	SRR7463393	1419V110111_baseline	female	IGTB1419
SAMN10104183	SRR7463394	1421V091311_baseline	male	IGTB1421
SAMN10104332	SRR7463395	1424V081811_baseline	female	IGTB1424
SAMN10104390	SRR7463396	1434V081811_baseline	female	IGTB1434
SAMN10103960	SRR7463397	1436V110311_baseline	female	IGTB1436
SAMN10104302	SRR7463398	1437V110911_baseline	female	IGTB1437
SAMN10104457	SRR7463399	1442V100411_baseline	female	IGTB1442
SAMN10104090	SRR7463400	1446V062811_baseline	male	IGTB1446
SAMN10104006	SRR7463401	1448V081711_baseline	female	IGTB1448
SAMN10104386	SRR7463402	1452V063011_baseline	male	IGTB1452
SAMN10104303	SRR7463403	1472V110311_baseline	female	IGTB1472
SAMN10104307	SRR7463404	1479V092911_baseline	male	IGTB1479
SAMN10104003	SRR7463405	1483V092811_baseline	male	IGTB1483
SAMN10104035	SRR7463406	1523V113011_baseline	female	IGTB1523
SAMN10104334	SRR7463407	1538V110211_baseline	male	IGTB1538
SAMN10104445	SRR7463408	1601V112211_baseline	female	IGTB1601
SAMN10104422	SRR7463409	1605V021412_baseline	male	IGTB1605
SAMN10104068	SRR7463410	1654V022112_baseline	female	IGTB1654
SAMN10104443	SRR7463411	1660V012412_baseline	female	IGTB1660
SAMN10104315	SRR7463412	1679V020912_baseline	female	IGTB1679
SAMN10104322	SRR7463413	1683V020712_baseline	female	IGTB1683
SAMN10104317	SRR7463414	1686V022212_baseline	male	IGTB1686
SAMN10104402	SRR7463415	1698V022812_baseline	male	IGTB1698
SAMN10104344	SRR7463416	IGTB1553_unstim_Exp1	female	IGTB1553
SAMN10104127	SRR7463417	IGTB1197_unstim_Exp7	male	IGTB1197
SAMN10104095	SRR7463418	IGTB1211_unstim_Exp1	female	IGTB1211
SAMN10104325	SRR7463419	IGTB885_unstim_Exp1	male	IGTB885
SAMN10104300	SRR7463420	IGTB1206_unstim_Exp1	female	IGTB1206
SAMN10104299	SRR7463421	IGTB621_unstim_Exp7	female	IGTB621
SAMN10104345	SRR7463422	IGTB1273_unstim_Exp1	female	IGTB1273
