sample_id	genotype_id	sex	cell_type	condition	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	ega_id
ACCOORCPIE_1	EIP@ACCOORCPIE	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481672
ACCOORCPIE_2	EIP@ACCOORCPIE	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481673
ACCOORCPIE_3	EIP@ACCOORCPIE	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481674
ACCOORCPIE_4	EIP@ACCOORCPIE	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481675
ACCOORCPIE_5	EIP@ACCOORCPIE	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481676
AOCJWLFCBJ_1	EIP@AOCJWLFCBJ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481677
AOCJWLFCBJ_2	EIP@AOCJWLFCBJ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481678
AOCJWLFCBJ_3	EIP@AOCJWLFCBJ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481679
AOCJWLFCBJ_4	EIP@AOCJWLFCBJ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481680
AOCJWLFCBJ_5	EIP@AOCJWLFCBJ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481681
AQZPGHGTQT_1	EIP@AQZPGHGTQT	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481682
AQZPGHGTQT_2	EIP@AQZPGHGTQT	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481683
AQZPGHGTQT_3	EIP@AQZPGHGTQT	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481684
AQZPGHGTQT_4	EIP@AQZPGHGTQT	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481685
AQZPGHGTQT_5	EIP@AQZPGHGTQT	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481686
ASEBSZGQTQ_1	EIP@ASEBSZGQTQ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481687
ASEBSZGQTQ_2	EIP@ASEBSZGQTQ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481688
ASEBSZGQTQ_3	EIP@ASEBSZGQTQ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481689
ASEBSZGQTQ_4	EIP@ASEBSZGQTQ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481690
ASEBSZGQTQ_5	EIP@ASEBSZGQTQ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481691
AXEOEKWRIW_1	EIP@AXEOEKWRIW	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481692
AXEOEKWRIW_2	EIP@AXEOEKWRIW	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481693
AXEOEKWRIW_3	EIP@AXEOEKWRIW	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481694
AXEOEKWRIW_4	EIP@AXEOEKWRIW	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481695
AXEOEKWRIW_5	EIP@AXEOEKWRIW	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481696
BBXHACQMGG_1	EIP@BBXHACQMGG	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481697
BBXHACQMGG_2	EIP@BBXHACQMGG	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481698
BBXHACQMGG_3	EIP@BBXHACQMGG	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481699
BBXHACQMGG_4	EIP@BBXHACQMGG	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481700
BBXHACQMGG_5	EIP@BBXHACQMGG	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481701
BDOHDOVYOO_1	EIP@BDOHDOVYOO	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481702
BDOHDOVYOO_3	EIP@BDOHDOVYOO	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481703
BDOHDOVYOO_4	EIP@BDOHDOVYOO	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481704
BDOHDOVYOO_5	EIP@BDOHDOVYOO	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	TRUE	Quach_2016	EGAR00001481705
