sample_id	genotype_id	sex	cell_type	condition	timepoint	read_length	stranded	paired	protocol	qtl_mapping	study	ega_id
ACCOORCPIE_1	ACCOORCPIE	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481672
ACCOORCPIE_2	ACCOORCPIE	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481673
ACCOORCPIE_3	ACCOORCPIE	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481674
ACCOORCPIE_4	ACCOORCPIE	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481675
ACCOORCPIE_5	ACCOORCPIE	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481676
AOCJWLFCBJ_1	AOCJWLFCBJ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481677
AOCJWLFCBJ_2	AOCJWLFCBJ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481678
AOCJWLFCBJ_3	AOCJWLFCBJ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481679
AOCJWLFCBJ_4	AOCJWLFCBJ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481680
AOCJWLFCBJ_5	AOCJWLFCBJ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481681
AQZPGHGTQT_1	AQZPGHGTQT	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481682
AQZPGHGTQT_2	AQZPGHGTQT	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481683
AQZPGHGTQT_3	AQZPGHGTQT	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481684
AQZPGHGTQT_4	AQZPGHGTQT	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481685
AQZPGHGTQT_5	AQZPGHGTQT	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481686
ASEBSZGQTQ_1	ASEBSZGQTQ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481687
ASEBSZGQTQ_2	ASEBSZGQTQ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481688
ASEBSZGQTQ_3	ASEBSZGQTQ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481689
ASEBSZGQTQ_4	ASEBSZGQTQ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481690
ASEBSZGQTQ_5	ASEBSZGQTQ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481691
AXEOEKWRIW_1	AXEOEKWRIW	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481692
AXEOEKWRIW_2	AXEOEKWRIW	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481693
AXEOEKWRIW_3	AXEOEKWRIW	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481694
AXEOEKWRIW_4	AXEOEKWRIW	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481695
AXEOEKWRIW_5	AXEOEKWRIW	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481696
BBXHACQMGG_1	BBXHACQMGG	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481697
BBXHACQMGG_2	BBXHACQMGG	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481698
BBXHACQMGG_3	BBXHACQMGG	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481699
BBXHACQMGG_4	BBXHACQMGG	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481700
BBXHACQMGG_5	BBXHACQMGG	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481701
BDOHDOVYOO_1	BDOHDOVYOO	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481702
BDOHDOVYOO_3	BDOHDOVYOO	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481703
BDOHDOVYOO_4	BDOHDOVYOO	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481704
BDOHDOVYOO_5	BDOHDOVYOO	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481705
BQESTUPRFG_1	BQESTUPRFG	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481706
BQESTUPRFG_2	BQESTUPRFG	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481707
BQESTUPRFG_3	BQESTUPRFG	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481708
BQESTUPRFG_4	BQESTUPRFG	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481709
BQESTUPRFG_5	BQESTUPRFG	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481710
BTICJJCPYJ_1	BTICJJCPYJ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481711
BTICJJCPYJ_2	BTICJJCPYJ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481712
BTICJJCPYJ_3	BTICJJCPYJ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481713
BTICJJCPYJ_4	BTICJJCPYJ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481714
BTICJJCPYJ_5	BTICJJCPYJ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481715
CEIGWWYWUQ_1	CEIGWWYWUQ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481716
CEIGWWYWUQ_3	CEIGWWYWUQ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481717
CEIGWWYWUQ_4	CEIGWWYWUQ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481718
CEIGWWYWUQ_5	CEIGWWYWUQ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481719
CHOMAAERON_1	CHOMAAERON	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481720
CHOMAAERON_2	CHOMAAERON	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481721
CHOMAAERON_3	CHOMAAERON	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481722
CHOMAAERON_4	CHOMAAERON	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481723
CHOMAAERON_5	CHOMAAERON	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481724
CHRHRKPZMN_1	CHRHRKPZMN	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481725
CHRHRKPZMN_2	CHRHRKPZMN	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481726
CHRHRKPZMN_4	CHRHRKPZMN	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481727
